"Reaction Abbreviation","Reaction Name","Reaction","Gene-reaction association","locusTags","Subsystem","Reversible","LB","UB","Objective"
"14GLUCANtexi","1 4 alpha D glucan transport via diffusion extracellular to periplasm irreversible"," 14glucan[e] -->  14glucan[p]","ECW_m4400","ECW_m4400","Transport Outer Membrane",0,0,1000,0
"23CAMPtex","23cAMP transport via diffusion extracellular to periplasm "," 23camp[e] <==>  23camp[p]","( ECW_m0355  or  ECW_m1039  or  ECW_m1509  or  ECW_m2416 )","ECW_m0355 ECW_m1039 ECW_m1509 ECW_m2416","Transport Outer Membrane Porin",1,-1000,1000,0
"23CCMPtex","23cCMP transport via diffusion extracellular to periplasm "," 23ccmp[e] <==>  23ccmp[p]","( ECW_m0355  or  ECW_m1039  or  ECW_m1509  or  ECW_m2416 )","ECW_m0355 ECW_m1039 ECW_m1509 ECW_m2416","Transport Outer Membrane Porin",1,-1000,1000,0
"23CGMPtex","23cGMP transport via diffusion extracellular to periplasm "," 23cgmp[e] <==>  23cgmp[p]","( ECW_m0355  or  ECW_m1039  or  ECW_m1509  or  ECW_m2416 )","ECW_m0355 ECW_m1039 ECW_m1509 ECW_m2416","Transport Outer Membrane Porin",1,-1000,1000,0
"23CUMPtex","23cUMP transport via diffusion extracellular to periplasm "," 23cump[e] <==>  23cump[p]","( ECW_m0355  or  ECW_m1039  or  ECW_m1509  or  ECW_m2416 )","ECW_m0355 ECW_m1039 ECW_m1509 ECW_m2416","Transport Outer Membrane Porin",1,-1000,1000,0
"23DAPPAt2pp","2 3 diaminopropionate transport in via proton symport"," 23dappa[p] + h[p] -->  23dappa[c] + h[c]",,,"Transport Inner Membrane",0,0,1000,0
"23DAPPAtex","2 3 diaminopropionate transport via diffusion"," 23dappa[e] <==>  23dappa[p]","( ECW_m0355  or  ECW_m1039  or  ECW_m1509  or  ECW_m2416 )","ECW_m0355 ECW_m1039 ECW_m1509 ECW_m2416","Transport Outer Membrane Porin",1,-1000,1000,0
"23PDE2pp","2 3 cyclic nucleotide phosphodiesterase UMP  periplasm ","[p] : 23cump + h2o -->  3ump + h","ECW_m4577","ECW_m4577","Nucleotide Salvage Pathway",0,0,1000,0
"23PDE4pp","2 3 cyclic nucleotide phosphodiesterase CMP  periplasm ","[p] : 23ccmp + h2o -->  3cmp + h","ECW_m4577","ECW_m4577","Nucleotide Salvage Pathway",0,0,1000,0
"23PDE7pp","2 3 cyclic nucleotide phosphodiesterase AMP  periplasm ","[p] : 23camp + h2o -->  3amp + h","ECW_m4577","ECW_m4577","Nucleotide Salvage Pathway",0,0,1000,0
"23PDE9pp","2 3 cyclic nucleotide phosphodiesterase GMP  periplasm ","[p] : 23cgmp + h2o -->  3gmp + h","ECW_m4577","ECW_m4577","Nucleotide Salvage Pathway",0,0,1000,0
"26DAHtex","meso 2 6 Diaminoheptanedioate transport via diffusion extracellular to periplasm "," 26dap-M[e] <==>  26dap-M[p]","( ECW_m0355  or  ECW_m1039  or  ECW_m1509  or  ECW_m2416 )","ECW_m0355 ECW_m1039 ECW_m1509 ECW_m2416","Transport Outer Membrane Porin",1,-1000,1000,0
"2AGPA120tipp","2 Acyl sn glycero 3 phosphatidate n C120 transporter via facilitated diffusion periplasm "," 2ddecg3p[p] -->  2ddecg3p[c]","ECW_m3078","ECW_m3078","Transport Inner Membrane",0,0,1000,0
"2AGPA140tipp","2 Acyl sn glycero 3 phosphatidate n C140 transporter via facilitated diffusion periplasm "," 2tdecg3p[p] -->  2tdecg3p[c]","ECW_m3078","ECW_m3078","Transport Inner Membrane",0,0,1000,0
"2AGPA141tipp","2 Acyl sn glycero 3 phosphatidate n C141 transporter via facilitated diffusion periplasm "," 2tdec7eg3p[p] -->  2tdec7eg3p[c]","ECW_m3078","ECW_m3078","Transport Inner Membrane",0,0,1000,0
"2AGPA160tipp","2 Acyl sn glycero 3 phosphatidate n C160 transporter via facilitated diffusion periplasm "," 2hdecg3p[p] -->  2hdecg3p[c]","ECW_m3078","ECW_m3078","Transport Inner Membrane",0,0,1000,0
"2AGPA161tipp","2 Acyl sn glycero 3 phosphatidate n C161 transporter via facilitated diffusion periplasm "," 2hdec9eg3p[p] -->  2hdec9eg3p[c]","ECW_m3078","ECW_m3078","Transport Inner Membrane",0,0,1000,0
"2AGPA180tipp","2 Acyl sn glycero 3 phosphatidate n C180 transporter via facilitated diffusion periplasm "," 2odecg3p[p] -->  2odecg3p[c]","ECW_m3078","ECW_m3078","Transport Inner Membrane",0,0,1000,0
"2AGPA181tipp","2 Acyl sn glycero 3 phosphatidate n C181 transporter via facilitated diffusion periplasm "," 2odec11eg3p[p] -->  2odec11eg3p[c]","ECW_m3078","ECW_m3078","Transport Inner Membrane",0,0,1000,0
"2AGPE120tipp","2 Acyl sn glycero 3 phosphoethanolamine n C120 transporter via facilitated diffusion periplasm "," 2agpe120[p] -->  2agpe120[c]","ECW_m3078","ECW_m3078","Transport Inner Membrane",0,0,1000,0
"2AGPE140tipp","2 Acyl sn glycero 3 phosphoethanolamine n C140 transporter via facilitated diffusion periplasm "," 2agpe140[p] -->  2agpe140[c]","ECW_m3078","ECW_m3078","Transport Inner Membrane",0,0,1000,0
"2AGPE141tipp","2 Acyl sn glycero 3 phosphoethanolamine n C141 transporter via facilitated diffusion periplasm "," 2agpe141[p] -->  2agpe141[c]","ECW_m3078","ECW_m3078","Transport Inner Membrane",0,0,1000,0
"2AGPE160tipp","2 Acyl sn glycero 3 phosphoethanolamine n C160 transporter via facilitated diffusion periplasm "," 2agpe160[p] -->  2agpe160[c]","ECW_m3078","ECW_m3078","Transport Inner Membrane",0,0,1000,0
"2AGPE161tipp","2 Acyl sn glycero 3 phosphoethanolamine n C161 transporter via facilitated diffusion periplasm "," 2agpe161[p] -->  2agpe161[c]","ECW_m3078","ECW_m3078","Transport Inner Membrane",0,0,1000,0
"2AGPE180tipp","2 Acyl sn glycero 3 phosphoethanolamine n C180 transporter via facilitated diffusion periplasm "," 2agpe180[p] -->  2agpe180[c]","ECW_m3078","ECW_m3078","Transport Inner Membrane",0,0,1000,0
"2AGPE181tipp","2 Acyl sn glycero 3 phosphoethanolamine n C181 transporter via facilitated diffusion periplasm "," 2agpe181[p] -->  2agpe181[c]","ECW_m3078","ECW_m3078","Transport Inner Membrane",0,0,1000,0
"2AGPEAT120","2 acyl glycerophospho ethanolamine acyltransferase n C120 ","[c] : 2agpe120 + atp + ddca -->  amp + pe120 + ppi","ECW_m3079","ECW_m3079","Glycerophospholipid Metabolism",0,0,1000,0
"2AGPEAT140","2 acyl glycerophospho ethanolamine acyltransferase n C140 ","[c] : 2agpe140 + atp + ttdca -->  amp + pe140 + ppi","ECW_m3079","ECW_m3079","Glycerophospholipid Metabolism",0,0,1000,0
"2AGPEAT141","2 acyl glycerophospho ethanolamine acyltransferase n C141 ","[c] : 2agpe141 + atp + ttdcea -->  amp + pe141 + ppi","ECW_m3079","ECW_m3079","Glycerophospholipid Metabolism",0,0,1000,0
"2AGPEAT160","2 acyl glycerophospho ethanolamine acyltransferase n C160 ","[c] : 2agpe160 + atp + hdca -->  amp + pe160 + ppi","ECW_m3079","ECW_m3079","Glycerophospholipid Metabolism",0,0,1000,0
"2AGPEAT161","2 acyl glycerophospho ethanolamine acyltransferase n C161 ","[c] : 2agpe161 + atp + hdcea -->  amp + pe161 + ppi","ECW_m3079","ECW_m3079","Glycerophospholipid Metabolism",0,0,1000,0
"2AGPEAT180","2 acyl glycerophospho ethanolamine acyltransferase n C180 ","[c] : 2agpe180 + atp + ocdca -->  amp + pe180 + ppi","ECW_m3079","ECW_m3079","Glycerophospholipid Metabolism",0,0,1000,0
"2AGPEAT181","2 acyl glycerophospho ethanolamine acyltransferase n C181 ","[c] : 2agpe181 + atp + ocdcea -->  amp + pe181 + ppi","ECW_m3079","ECW_m3079","Glycerophospholipid Metabolism",0,0,1000,0
"2AGPG120tipp","2 Acyl sn glycero 3 phosphoglycerol n C120 transporter via facilitated diffusion periplasm "," 2agpg120[p] -->  2agpg120[c]","ECW_m3078","ECW_m3078","Transport Inner Membrane",0,0,1000,0
"2AGPG140tipp","2 Acyl sn glycero 3 phosphoglycerol n C140 transporter via facilitated diffusion periplasm "," 2agpg140[p] -->  2agpg140[c]","ECW_m3078","ECW_m3078","Transport Inner Membrane",0,0,1000,0
"2AGPG141tipp","2 Acyl sn glycero 3 phosphoglycerol n C141 transporter via facilitated diffusion periplasm "," 2agpg141[p] -->  2agpg141[c]","ECW_m3078","ECW_m3078","Transport Inner Membrane",0,0,1000,0
"2AGPG160tipp","2 Acyl sn glycero 3 phosphoglycerol n C160 transporter via facilitated diffusion periplasm "," 2agpg160[p] -->  2agpg160[c]","ECW_m3078","ECW_m3078","Transport Inner Membrane",0,0,1000,0
"2AGPG161tipp","2 Acyl sn glycero 3 phosphoglycerol n C161 transporter via facilitated diffusion periplasm "," 2agpg161[p] -->  2agpg161[c]","ECW_m3078","ECW_m3078","Transport Inner Membrane",0,0,1000,0
"2AGPG180tipp","2 Acyl sn glycero 3 phosphoglycerol n C180 transporter via facilitated diffusion periplasm "," 2agpg180[p] -->  2agpg180[c]","ECW_m3078","ECW_m3078","Transport Inner Membrane",0,0,1000,0
"2AGPG181tipp","2 Acyl sn glycero 3 phosphoglycerol n C181 transporter via facilitated diffusion periplasm "," 2agpg181[p] -->  2agpg181[c]","ECW_m3078","ECW_m3078","Transport Inner Membrane",0,0,1000,0
"2AGPGAT120","2 acyl glycerophospho glycerol acyltransferase n C120 ","[c] : 2agpg120 + atp + ddca -->  amp + pg120 + ppi","ECW_m3079","ECW_m3079","Glycerophospholipid Metabolism",0,0,1000,0
"2AGPGAT140","2 acyl glycerophospho glycerol acyltransferase n C140 ","[c] : 2agpg140 + atp + ttdca -->  amp + pg140 + ppi","ECW_m3079","ECW_m3079","Glycerophospholipid Metabolism",0,0,1000,0
"2AGPGAT141","2 acyl glycerophospho glycerol acyltransferase n C141 ","[c] : 2agpg141 + atp + ttdcea -->  amp + pg141 + ppi","ECW_m3079","ECW_m3079","Glycerophospholipid Metabolism",0,0,1000,0
"2AGPGAT160","2 acyl glycerophospho glycerol acyltransferase n C160 ","[c] : 2agpg160 + atp + hdca -->  amp + pg160 + ppi","ECW_m3079","ECW_m3079","Glycerophospholipid Metabolism",0,0,1000,0
"2AGPGAT161","2 acyl glycerophospho glycerol acyltransferase n C161 ","[c] : 2agpg161 + atp + hdcea -->  amp + pg161 + ppi","ECW_m3079","ECW_m3079","Glycerophospholipid Metabolism",0,0,1000,0
"2AGPGAT180","2 acyl glycerophospho glycerol acyltransferase n C180 ","[c] : 2agpg180 + atp + ocdca -->  amp + pg180 + ppi","ECW_m3079","ECW_m3079","Glycerophospholipid Metabolism",0,0,1000,0
"2AGPGAT181","2 acyl glycerophospho glycerol acyltransferase n C181 ","[c] : 2agpg181 + atp + ocdcea -->  amp + pg181 + ppi","ECW_m3079","ECW_m3079","Glycerophospholipid Metabolism",0,0,1000,0
"2DGLCNRx","2 dehydro D gluconate reductase NADH ","[c] : 2dhglcn + h + nadh -->  glcn + nad","ECW_m3825","ECW_m3825","Alternate Carbon Metabolism",0,0,1000,0
"2DGLCNRy","2 dehydro D gluconate reductase NADPH ","[c] : 2dhglcn + h + nadph -->  glcn + nadp","ECW_m3825","ECW_m3825","Alternate Carbon Metabolism",0,0,1000,0
"2DGULRx","2 dehydro L gulonate reductase NADH ","[c] : 2dhguln + h + nadh -->  idon-L + nad","ECW_m3825","ECW_m3825","Alternate Carbon Metabolism",0,0,1000,0
"2DGULRy","2 dehydro L gulonate reductase NADPH ","[c] : 2dhguln + h + nadph -->  idon-L + nadp","ECW_m3825","ECW_m3825","Alternate Carbon Metabolism",0,0,1000,0
"2MAHMP","2 Methyl 4 amino 5 hydroxymethylpyrimidine diphosphatase","[c] : 2mahmp + h2o -->  4ampm + h + pi","( ECW_m0518  or  ECW_m1242 )","ECW_m0518 ECW_m1242","Cofactor and Prosthetic Group Biosynthesis",0,0,1000,0
"34dhpactex","dihydroxyphenylacetaldehyde transport via diffusion extracellular to periplasm "," 34dhpac[e] <==>  34dhpac[p]","( ECW_m0355  or  ECW_m1039  or  ECW_m1509  or  ECW_m2416 )","ECW_m0355 ECW_m1039 ECW_m1509 ECW_m2416","Transport Outer Membrane Porin",1,-1000,1000,0
"3AMPtex","3AMP transport via diffusion extracellular to periplasm "," 3amp[e] <==>  3amp[p]","( ECW_m0355  or  ECW_m1039  or  ECW_m1509  or  ECW_m2416 )","ECW_m0355 ECW_m1039 ECW_m1509 ECW_m2416","Transport Outer Membrane Porin",1,-1000,1000,0
"3CMPtex","3CMP transport via diffusion extracellular to periplasm "," 3cmp[e] <==>  3cmp[p]","( ECW_m0355  or  ECW_m1039  or  ECW_m1509  or  ECW_m2416 )","ECW_m0355 ECW_m1039 ECW_m1509 ECW_m2416","Transport Outer Membrane Porin",1,-1000,1000,0
"3GMPtex","3GMP transport via diffusion extracellular to periplasm "," 3gmp[e] <==>  3gmp[p]","( ECW_m0355  or  ECW_m1509  or  ECW_m2416  or  ECW_m1039 )","ECW_m0355 ECW_m1039 ECW_m1509 ECW_m2416","Transport Outer Membrane Porin",1,-1000,1000,0
"3HAD100","3 hydroxyacyl acyl carrier protein dehydratase n C100 ","[c] : 3hdecACP -->  h2o + tdec2eACP","( ECW_m1064  or  ECW_m0176 )","ECW_m0176 ECW_m1064","Cell Envelope Biosynthesis",0,0,1000,0
"3HAD120","3 hydroxyacyl acyl carrier protein dehydratase n C120 ","[c] : 3hddecACP -->  h2o + tddec2eACP","( ECW_m1064  or  ECW_m0176 )","ECW_m0176 ECW_m1064","Cell Envelope Biosynthesis",0,0,1000,0
"3HAD121","3 hydroxyacyl acyl carrier protein dehydratase n C121 ","[c] : 3hcddec5eACP -->  h2o + t3c5ddeceACP","( ECW_m0176  or  ECW_m1064 )","ECW_m0176 ECW_m1064","Cell Envelope Biosynthesis",0,0,1000,0
"3HAD140","3 hydroxyacyl acyl carrier protein dehydratase n C140 ","[c] : 3hmrsACP -->  h2o + tmrs2eACP","( ECW_m1064  or  ECW_m0176 )","ECW_m0176 ECW_m1064","Cell Envelope Biosynthesis",0,0,1000,0
"3HAD141","3 hydroxyacyl acyl carrier protein dehydratase n C141 ","[c] : 3hcmrs7eACP -->  h2o + t3c7mrseACP","( ECW_m1064  or  ECW_m0176 )","ECW_m0176 ECW_m1064","Cell Envelope Biosynthesis",0,0,1000,0
"3HAD160","3 hydroxyacyl acyl carrier protein dehydratase n C160 ","[c] : 3hpalmACP -->  h2o + tpalm2eACP","( ECW_m1064  or  ECW_m0176 )","ECW_m0176 ECW_m1064","Cell Envelope Biosynthesis",0,0,1000,0
"3HAD161","3 hydroxyacyl acyl carrier protein dehydratase n C161 ","[c] : 3hcpalm9eACP -->  h2o + t3c9palmeACP","( ECW_m0176  or  ECW_m1064 )","ECW_m0176 ECW_m1064","Cell Envelope Biosynthesis",0,0,1000,0
"3HAD180","3 hydroxyacyl acyl carrier protein dehydratase n C180 ","[c] : 3hoctaACP -->  h2o + toctd2eACP","( ECW_m1064  or  ECW_m0176 )","ECW_m0176 ECW_m1064","Cell Envelope Biosynthesis",0,0,1000,0
"3HAD181","3 hydroxyacyl acyl carrier protein dehydratase n C181 ","[c] : 3hcvac11eACP -->  h2o + t3c11vaceACP","( ECW_m0176  or  ECW_m1064 )","ECW_m0176 ECW_m1064","Cell Envelope Biosynthesis",0,0,1000,0
"3HAD40","3 hydroxyacyl acyl carrier protein dehydratase n C40 ","[c] : 3haACP -->  but2eACP + h2o","( ECW_m1064  or  ECW_m0176 )","ECW_m0176 ECW_m1064","Cell Envelope Biosynthesis",0,0,1000,0
"3HAD60","3 hydroxyacyl acyl carrier protein dehydratase n C60 ","[c] : 3hhexACP -->  h2o + thex2eACP","( ECW_m1064  or  ECW_m0176 )","ECW_m0176 ECW_m1064","Cell Envelope Biosynthesis",0,0,1000,0
"3HAD80","3 hydroxyacyl acyl carrier protein dehydratase n C80 ","[c] : 3hoctACP -->  h2o + toct2eACP","( ECW_m1064  or  ECW_m0176 )","ECW_m0176 ECW_m1064","Cell Envelope Biosynthesis",0,0,1000,0
"3HCINNMH","3 hydroxycinnamate hydroxylase","[c] : 3hcinnm + h + nadh + o2 -->  dhcinnm + h2o + nad","ECW_m0425","ECW_m0425","Alternate Carbon Metabolism",0,0,1000,0
"3HPPPNH","3 3 hydroxy phenyl propionate hydroxylase","[c] : 3hpppn + h + nadh + o2 -->  dhpppn + h2o + nad","ECW_m0425","ECW_m0425","Alternate Carbon Metabolism",0,0,1000,0
"3KGK","3 keto L gulonate kinase","[c] : 3dhguln + atp -->  3dhgulnp + adp + h","ECW_m3854","ECW_m3854","Alternate Carbon Metabolism",0,0,1000,0
"3NTD2pp","3 nucleotidase UMP  periplasm ","[p] : 3ump + h2o -->  pi + uri","ECW_m4577","ECW_m4577","Nucleotide Salvage Pathway",0,0,1000,0
"3NTD4pp","3 nucleotidase CMP  periplasm ","[p] : 3cmp + h2o -->  cytd + pi","ECW_m4577","ECW_m4577","Nucleotide Salvage Pathway",0,0,1000,0
"3NTD7pp","3 nucleotidase AMP  periplasm ","[p] : 3amp + h2o -->  adn + pi","ECW_m4577","ECW_m4577","Nucleotide Salvage Pathway",0,0,1000,0
"3NTD9pp","3 nucleotidase GMP  periplasm ","[p] : 3gmp + h2o -->  gsn + pi","ECW_m4577","ECW_m4577","Nucleotide Salvage Pathway",0,0,1000,0
"3OAR100","3 oxoacyl acyl carrier protein reductase n C100 ","[c] : 3odecACP + h + nadph <==>  3hdecACP + nadp","ECW_m1201","ECW_m1201","Cell Envelope Biosynthesis",1,-1000,1000,0
"3OAR120","3 oxoacyl acyl carrier protein reductase n C120 ","[c] : 3oddecACP + h + nadph <==>  3hddecACP + nadp","ECW_m1201","ECW_m1201","Cell Envelope Biosynthesis",1,-1000,1000,0
"3OAR121","3 oxoacyl acyl carrier protein reductase n C121 ","[c] : 3ocddec5eACP + h + nadph -->  3hcddec5eACP + nadp","ECW_m1201","ECW_m1201","Cell Envelope Biosynthesis",0,0,1000,0
"3OAR140","3 oxoacyl acyl carrier protein reductase n C140 ","[c] : 3omrsACP + h + nadph <==>  3hmrsACP + nadp","ECW_m1201","ECW_m1201","Cell Envelope Biosynthesis",1,-1000,1000,0
"3OAR141","3 oxoacyl acyl carrier protein reductase n C141 ","[c] : 3ocmrs7eACP + h + nadph -->  3hcmrs7eACP + nadp","ECW_m1201","ECW_m1201","Cell Envelope Biosynthesis",0,0,1000,0
"3OAR160","3 oxoacyl acyl carrier protein reductase n C160 ","[c] : 3opalmACP + h + nadph <==>  3hpalmACP + nadp","ECW_m1201","ECW_m1201","Cell Envelope Biosynthesis",1,-1000,1000,0
"3OAR161","3 oxoacyl acyl carrier protein reductase n C161 ","[c] : 3ocpalm9eACP + h + nadph -->  3hcpalm9eACP + nadp","ECW_m1201","ECW_m1201","Cell Envelope Biosynthesis",0,0,1000,0
"3OAR180","3 oxoacyl acyl carrier protein reductase n C180 ","[c] : 3ooctdACP + h + nadph <==>  3hoctaACP + nadp","ECW_m1201","ECW_m1201","Cell Envelope Biosynthesis",1,-1000,1000,0
"3OAR181","3 oxoacyl acyl carrier protein reductase n C181 ","[c] : 3ocvac11eACP + h + nadph -->  3hcvac11eACP + nadp","ECW_m1201","ECW_m1201","Cell Envelope Biosynthesis",0,0,1000,0
"3OAR40","3 oxoacyl acyl carrier protein reductase n C40 ","[c] : actACP + h + nadph <==>  3haACP + nadp","ECW_m1201","ECW_m1201","Cell Envelope Biosynthesis",1,-1000,1000,0
"3OAR60","3 oxoacyl acyl carrier protein reductase n C60 ","[c] : 3ohexACP + h + nadph <==>  3hhexACP + nadp","ECW_m1201","ECW_m1201","Cell Envelope Biosynthesis",1,-1000,1000,0
"3OAR80","3 oxoacyl acyl carrier protein reductase n C80 ","[c] : 3ooctACP + h + nadph <==>  3hoctACP + nadp","ECW_m1201","ECW_m1201","Cell Envelope Biosynthesis",1,-1000,1000,0
"3OAS100","3 oxoacyl acyl carrier protein synthase n C100 ","[c] : h + malACP + ocACP -->  3odecACP + ACP + co2","( ECW_m2512  or  ECW_m1203 )","ECW_m1203 ECW_m2512","Cell Envelope Biosynthesis",0,0,1000,0
"3OAS120","3 oxoacyl acyl carrier protein synthase n C120 ","[c] : dcaACP + h + malACP -->  3oddecACP + ACP + co2","( ECW_m2512  or  ECW_m1203 )","ECW_m1203 ECW_m2512","Cell Envelope Biosynthesis",0,0,1000,0
"3OAS121","3 oxoacyl acyl carrier protein synthase n C121 ","[c] : cdec3eACP + h + malACP -->  3ocddec5eACP + ACP + co2","ECW_m2512","ECW_m2512","Cell Envelope Biosynthesis",0,0,1000,0
"3OAS140","3 oxoacyl acyl carrier protein synthase n C140 ","[c] : ddcaACP + h + malACP -->  3omrsACP + ACP + co2","( ECW_m2512  or  ECW_m1203 )","ECW_m1203 ECW_m2512","Cell Envelope Biosynthesis",0,0,1000,0
"3OAS141","3 oxoacyl acyl carrier protein synthase n C141 ","[c] : cddec5eACP + h + malACP -->  3ocmrs7eACP + ACP + co2","ECW_m2512","ECW_m2512","Cell Envelope Biosynthesis",0,0,1000,0
"3OAS160","3 oxoacyl acyl carrier protein synthase n C160 ","[c] : h + malACP + myrsACP -->  3opalmACP + ACP + co2","( ECW_m2512  or  ECW_m1203 )","ECW_m1203 ECW_m2512","Cell Envelope Biosynthesis",0,0,1000,0
"3OAS161","3 oxoacyl acyl carrier protein synthase n C161 ","[c] : h + malACP + tdeACP -->  3ocpalm9eACP + ACP + co2","ECW_m2512","ECW_m2512","Cell Envelope Biosynthesis",0,0,1000,0
"3OAS180","3 oxoacyl acyl carrier protein synthase n C180 ","[c] : h + malACP + palmACP -->  3ooctdACP + ACP + co2","( ECW_m1203  or  ECW_m2512 )","ECW_m1203 ECW_m2512","Cell Envelope Biosynthesis",0,0,1000,0
"3OAS181","3 oxoacyl acyl carrier protein synthase n C181 ","[c] : h + hdeACP + malACP -->  3ocvac11eACP + ACP + co2","ECW_m1203","ECW_m1203","Cell Envelope Biosynthesis",0,0,1000,0
"3OAS60","3 oxoacyl acyl carrier protein synthase n C60 ","[c] : butACP + h + malACP -->  3ohexACP + ACP + co2","( ECW_m2512  or  ECW_m1203 )","ECW_m1203 ECW_m2512","Cell Envelope Biosynthesis",0,0,1000,0
"3OAS80","3 oxoacyl acyl carrier protein synthase n C80 ","[c] : h + hexACP + malACP -->  3ooctACP + ACP + co2","( ECW_m2512  or  ECW_m1203 )","ECW_m1203 ECW_m2512","Cell Envelope Biosynthesis",0,0,1000,0
"3PEPTabcpp","tripeptide LalaDgluMdap transport via ABC system periplasm "," LalaDgluMdap[p] + atp[c] + h2o[c] -->  LalaDgluMdap[c] + adp[c] + h[c] + pi[c]","( ECW_m1427  and  ECW_m1336  and  ECW_m1337  and  ECW_m1338  and  ECW_m1339 )","ECW_m1336 ECW_m1337 ECW_m1338 ECW_m1339 ECW_m1427","Murein Recycling",0,0,1000,0
"3PEPTtex","LalaDgluMdap tripeptide transport via diffusion extracellular to periplasm "," LalaDgluMdap[e] <==>  LalaDgluMdap[p]","( ECW_m0355  or  ECW_m1039  or  ECW_m1509  or  ECW_m2416 )","ECW_m0355 ECW_m1039 ECW_m1509 ECW_m2416","Transport Outer Membrane Porin",1,-1000,1000,0
"3UMPtex","3UMP transport via diffusion extracellular to periplasm "," 3ump[e] <==>  3ump[p]","( ECW_m0355  or  ECW_m1039  or  ECW_m1509  or  ECW_m2416 )","ECW_m0355 ECW_m1039 ECW_m1509 ECW_m2416","Transport Outer Membrane Porin",1,-1000,1000,0
"42A12BOOXpp","4 2 Aminoethyl 1 2 benzenedioloxygen oxidoreductase deaminating flavin containing ","[p] : dopa + h2o + o2 -->  34dhpac + h2o2 + nh4","ECW_m1520","ECW_m1520","Nitrogen Metabolism",0,0,1000,0
"4HOXPACDtex","4 hydroxyphenylacetaldehyde transport via diffusion extracellular to periplasm "," 4hoxpacd[e] <==>  4hoxpacd[p]","( ECW_m0355  or  ECW_m1039  or  ECW_m1509  or  ECW_m2416 )","ECW_m0355 ECW_m1039 ECW_m1509 ECW_m2416","Transport Outer Membrane Porin",1,-1000,1000,0
"4HTHRS","4 Hydroxy L threonine synthase","[c] : h2o + phthr -->  4hthr + pi","ECW_m0004","ECW_m0004","Cofactor and Prosthetic Group Biosynthesis",0,0,1000,0
"4PCP","tetrapeptide L D carboxypeptidase","[c] : LalaDgluMdapDala + h2o -->  LalaDgluMdap + ala-D","ECW_m1278","ECW_m1278","Murein Recycling",0,0,1000,0
"4PCPpp","tetrapeptide L D carboxypeptidase periplasm ","[p] : LalaDgluMdapDala + h2o -->  LalaDgluMdap + ala-D",,,"Murein Recycling",0,0,1000,0
