#,METID,METNAME,UNCONSTRAINED,MIRIAM,COMPOSITION,InChI,COMPARTMENT,REPLACEMENT ID,KEEG-ENTRY,,,,,,,,,,,
,Glycerone phosphate[c],Glycerone phosphate,,obo.chebi:CHEBI:16108,C3H7O6P,"1/C3H7O6P/c4-1-3(5)2-9-10(6,7)8/h4H,1-2H2,(H2,6,7,8)/f/h6-7H",c,m11,C00111,,,,,,,,,,,
,D-Glyceraldehyde 3-phosphate[c],D-Glyceraldehyde 3-phosphate,,obo.chebi:CHEBI:29052,C3H7O6P,"1/C3H7O6P/c4-1-3(5)2-9-10(6,7)8/h1,3,5H,2H2,(H2,6,7,8)/t3-/m0/s1/f/h6-7H",c,m12,C00118,,,,,,,,,,,
,NAD+[c],NAD+,,obo.chebi:CHEBI:15846,C21H28N7O14P2,"1/C21H27N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1-4,7-8,10-11,13-16,20-21,29-32H,5-6H2,(H5-,22,23,24,25,33,34,35,36,37)/p+1/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1/fC21H28N7O14P2/h34,36H,22-23H2/q+1",c,m13,C00003,,,,,,,,,,,
,3-Phospho-D-glyceroyl phosphate[c],3-Phospho-D-glyceroyl phosphate,,obo.chebi:CHEBI:16001,C3H8O10P2,"1/C3H8O10P2/c4-2(1-12-14(6,7)8)3(5)13-15(9,10)11/h2,4H,1H2,(H2,6,7,8)(H2,9,10,11)/t2-/m1/s1",c,m14,C00236,,,,,,,,,,,
,NADH[c],NADH,,obo.chebi:CHEBI:16908,C21H29N7O14P2,"1/C21H29N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1,3-4,7-8,10-11,13-16,20-21,29-32H,2,5-6H2,(H2,23,33)(H,34,35)(H,36,37)(H2,22,24,25)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1/f/h34,36H,22-23H2",c,m15,C00004,,,,,,,,,,,
,H+[c],H+,,obo.chebi:CHEBI:15378,H,,c,m16,C00080,,,,,,,,,,,
,3-Phospho-D-glycerate[c],3-Phospho-D-glycerate,,obo.chebi:CHEBI:17794,C3H7O7P,"1/C3H7O7P/c4-2(3(5)6)1-10-11(7,8)9/h2,4H,1H2,(H,5,6)(H2,7,8,9)/t2-/m1/s1",c,m17,C00197,,,,,,,,,,,
,2-Phospho-D-glycerate[c],2-Phospho-D-glycerate,,obo.chebi:CHEBI:17835,C3H7O7P,"1/C3H7O7P/c4-1-2(3(5)6)10-11(7,8)9/h2,4H,1H2,(H,5,6)(H2,7,8,9)/t2-/m1/s1",c,m18,C00631,,,,,,,,,,,
,Phosphoenolpyruvate[c],Phosphoenolpyruvate,,obo.chebi:CHEBI:18021,C3H5O6P,"1/C3H5O6P/c1-2(3(4)5)9-10(6,7)8/h1H2,(H,4,5)(H2,6,7,8)/p-1",c,m19,C00074,,,,,,,,,,,
,Pyruvate[c],Pyruvate,,obo.chebi:CHEBI:32816,C3H4O3,,c,m20,C00022,,,,,,,,,,,
,alpha-D-Glucose 1-phosphate[c],alpha-D-Glucose 1-phosphate,,obo.chebi:CHEBI:16077,C6H13O9P,,c,m21,C00103,,,,,,,,,,,
,UTP[c],UTP,,obo.chebi:CHEBI:15713,C9H15N2O15P3,"1/C9H15N2O15P3/c12-5-1-2-11(9(15)10-5)8-7(14)6(13)4(24-8)3-23-28(19,20)26-29(21,22)25-27(16,17)18/h1-2,4,6-8,13-14H,3H2,(H,19,20)(H,21,22)(H,10,12,15)(H2,16,17,18)/t4-,6-,7-,8-/m1/s1/f/h10,16-17,19,21H",c,m22,C00075,,,,,,,,,,,
,Diphosphate[c],Diphosphate,,obo.chebi:CHEBI:18361,P2H4O7,"1/H4O7P2/c1-8(2,3)7-9(4,5)6/h(H2,1,2,3)(H2,4,5,6)/p-4/fO7P2/q-4",c,m23,C00013,,,,,,,,,,,
,UDP-glucose[c],UDP-glucose,,obo.chebi:CHEBI:18066,C15H24N2O17P2,"1/C15H24N2O17P2/c18-3-5-8(20)10(22)12(24)14(32-5)33-36(28,29)34-35(26,27)30-4-6-9(21)11(23)13(31-6)17-2-1-7(19)16-15(17)25/h1-2,5-6,8-14,18,20-24H,3-4H2,(H,26,27)(H,28,29)(H,16,19,25)/t5-,6-,8-,9-,10+,11-,12-,13-,14?/m1/s1/f/h16,26,28H",c,m24,C00029,,,,,,,,,,,
,UDP[c],UDP,,obo.chebi:CHEBI:17659,C9H14N2O12P2,"1/C9H14N2O12P2/c12-5-1-2-11(9(15)10-5)8-7(14)6(13)4(22-8)3-21-25(19,20)23-24(16,17)18/h1-2,4,6-8,13-14H,3H2,(H,19,20)(H,10,12,15)(H2,16,17,18)/t4-,6-,7-,8-/m1/s1",c,m25,C00015,,,,,,,,,,,
,"1,3-beta-D-Glucan[c]","1,3-beta-D-Glucan",,obo.chebi:CHEBI:37671,(C6H10O5)n,,c,m26,C00965,,,,,,,,,,,
,"alpha,alpha'-Trehalose 6-phosphate[c]","alpha,alpha'-Trehalose 6-phosphate",,obo.chebi:CHEBI:18283,C12H23O14P,"1/C12H23O14P/c13-1-3-5(14)7(16)9(18)11(24-3)26-12-10(19)8(17)6(15)4(25-12)2-23-27(20,21)22/h3-19H,1-2H2,(H2,20,21,22)/t3-,4-,5-,6-,7+,8+,9-,10-,11-,12-/m1/s1",c,m27,C00689,,,,,,,,,,,
,"alpha,alpha-Trehalose[c]","alpha,alpha-Trehalose",,obo.chebi:CHEBI:16551,C12H22O11,"1/C12H22O11/c13-1-3-5(15)7(17)9(19)11(21-3)23-12-10(20)8(18)6(16)4(2-14)22-12/h3-20H,1-2H2/t3-,4-,5-,6-,7+,8+,9-,10-,11-,12-/m1/s1",c,m28,C01083,,,,,,,,,,,
,"alpha,alpha-Trehalose[e]","alpha,alpha-Trehalose",,obo.chebi:CHEBI:16551,C12H22O11,"1/C12H22O11/c13-1-3-5(15)7(17)9(19)11(21-3)23-12-10(20)8(18)6(16)4(2-14)22-12/h3-20H,1-2H2/t3-,4-,5-,6-,7+,8+,9-,10-,11-,12-/m1/s1",e,m29,C01083,,,,,,,,,,,
,H2O[e],H2O,,obo.chebi:CHEBI:15377,H2O,1/H2O/h1H2,e,m30,C00001,,,,,,,,,,,
,Glycogen[c],Glycogen,,obo.chebi:CHEBI:28087,C24H42O21,,c,m31,C00182,,,,,,,,,,,
,alpha-D-Glucose-1-phosphate[c],alpha-D-Glucose-1-phosphate,,,,,c,m32,,,,,,,,,,,,
,Cellobiose[c],Cellobiose,,obo.chebi:CHEBI:17057,C12H22O11,"1/C12H22O11/c13-1-3-5(15)6(16)9(19)12(22-3)23-10-4(2-14)21-11(20)8(18)7(10)17/h3-20H,1-2H2/t3-,4-,5-,6+,7-,8-,9-,10-,11?,12+/m1/s1",c,m33,C00185,,,,,,,,,,,
,Starch[c],Starch,,obo.chebi:CHEBI:28017,(C12H20O10)n,,c,m34,C00369,,,,,,,,,,,
,Amylose[c],Amylose,,obo.chebi:CHEBI:28102,(C6H10O5)n,,c,m35,C00718,,,,,,,,,,,
,D-Glucose 1-phosphate[c],D-Glucose 1-phosphate,,obo.chebi:CHEBI:16077,C6H13O9P,,c,m36,C00103,,,,,,,,,,,
,Maltose[c],Maltose,,obo.chebi:CHEBI:17306,C12H22O11,"1/C12H22O11/c13-1-3-5(15)6(16)9(19)12(22-3)23-10-4(2-14)21-11(20)8(18)7(10)17/h3-20H,1-2H2/t3-,4-,5-,6+,7-,8-,9-,10-,11?,12-/m1/s1",c,m37,C00208,,,,,,,,,,,
,(S)-Lactate[c],(S)-Lactate,,obo.chebi:CHEBI:422,C3H6O3,,c,m38,C00186,,,,,,,,,,,
,Ferricytochrome c[m],Ferricytochrome c,,obo.chebi:CHEBI:15991,C42H44FeN8O8S2R4,,m,m39,C00125,,,,,,,,,,,
,Ferrocytochrome c[m],Ferrocytochrome c,,obo.chebi:CHEBI:16928,C42H44FeN8O8S2R4,,m,m40,C00126,,,,,,,,,,,
,(S)-Lactate[m],(S)-Lactate,,obo.chebi:CHEBI:422,C3H6O3,,m,m41,C00186,,,,,,,,,,,
,Pyruvate[m],Pyruvate,,obo.chebi:CHEBI:32816,C3H4O3,,m,m42,C00022,,,,,,,,,,,
,H+[m],H+,,obo.chebi:CHEBI:15378,H,,m,m43,C00080,,,,,,,,,,,
,(R)-Lactate[c],(R)-Lactate,,obo.chebi:CHEBI:42111,C3H6O3,,c,m44,C00256,,,,,,,,,,,
,(R)-Lactate[m],(R)-Lactate,,obo.chebi:CHEBI:42111,C3H6O3,,m,m45,C00256,,,,,,,,,,,
,Thiamin diphosphate[m],Thiamin diphosphate,,obo.chebi:CHEBI:9532,C12H19N4O7P2S,,m,m46,C00068,,,,,,,,,,,
,2-(alpha-Hydroxyethyl)thiamine diphosphate[m],2-(alpha-Hydroxyethyl)thiamine diphosphate,,obo.chebi:CHEBI:978,C14H23N4O8P2S,,m,m47,C05125,,,,,,,,,,,
,CO2[m],CO2,,obo.chebi:CHEBI:16526,CO2,1/CO2/c2-1-3,m,m48,C00011,,,,,,,,,,,
,Enzyme N6-(lipoyl)lysine[m],Enzyme N6-(lipoyl)lysine,,pubchem.compound:47205285,C8H14NOS2R,,m,m49,C15972,,,,,,,,,,,
,[Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine[m],[Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine,,pubchem.compound:47205563,C10H18NO2S2R,,m,m50,C16255,,,,,,,,,,,
,CoA[m],CoA,,obo.chebi:CHEBI:15346,C21H36N7O16P3S,"1/C21H36N7O16P3S/c1-21(2,16(31)19(32)24-4-3-12(29)23-5-6-48)8-41-47(38,39)44-46(36,37)40-7-11-15(43-45(33,34)35)14(30)20(42-11)28-10-27-13-17(22)25-9-26-18(13)28/h9-11,14-16,20,30-31,48H,3-8H2,1-2H3,(H,23,29)(H,24,32)(H,36,37)(H,38,39)(H2,22,25,26)(H2,33,34,35)/t11-,14-,15-,16+,20-/m1/s1/f/h23-24,33-34,36,38H,22H2",m,m51,C00010,,,,,,,,,,,
,Acetyl-CoA[m],Acetyl-CoA,,obo.chebi:CHEBI:15351,C23H38N7O17P3S,"1/C23H38N7O17P3S/c1-12(31)51-7-6-25-14(32)4-5-26-21(35)18(34)23(2,3)9-44-50(41,42)47-49(39,40)43-8-13-17(46-48(36,37)38)16(33)22(45-13)30-11-29-15-19(24)27-10-28-20(15)30/h10-11,13,16-18,22,33-34H,4-9H2,1-3H3,(H,25,32)(H,26,35)(H,39,40)(H,41,42)(H2,24,27,28)(H2,36,37,38)/t13-,16-,17-,18+,22-/m1/s1/f/h25-26,36-37,39,41H,24H2",m,m52,C00024,,,,,,,,,,,
,Enzyme N6-(dihydrolipoyl)lysine[m],Enzyme N6-(dihydrolipoyl)lysine,,pubchem.compound:47205286,C8H16NOS2R,,m,m53,C15973,,,,,,,,,,,
,NAD+[m],NAD+,,obo.chebi:CHEBI:15846,C21H28N7O14P2,"1/C21H27N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1-4,7-8,10-11,13-16,20-21,29-32H,5-6H2,(H5-,22,23,24,25,33,34,35,36,37)/p+1/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1/fC21H28N7O14P2/h34,36H,22-23H2/q+1",m,m54,C00003,,,,,,,,,,,
,NADH[m],NADH,,obo.chebi:CHEBI:16908,C21H29N7O14P2,"1/C21H29N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1,3-4,7-8,10-11,13-16,20-21,29-32H,2,5-6H2,(H2,23,33)(H,34,35)(H,36,37)(H2,22,24,25)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1/f/h34,36H,22-23H2",m,m55,C00004,,,,,,,,,,,
,O-Acetylcarnitine[m],O-Acetylcarnitine,,obo.chebi:CHEBI:15960,C9H18NO4,"1/C9H17NO4/c1-7(11)14-8(5-9(12)13)6-10(2,3)4/h8H,5-6H2,1-4H3/p+1/t8-/m1/s1",m,m56,C02571,,,,,,,,,,,
,Carnitine[m],Carnitine,,obo.chebi:CHEBI:3424,C7H16NO3,,m,m57,C00487,,,,,,,,,,,
,CoA[c],CoA,,obo.chebi:CHEBI:15346,C21H36N7O16P3S,"1/C21H36N7O16P3S/c1-21(2,16(31)19(32)24-4-3-12(29)23-5-6-48)8-41-47(38,39)44-46(36,37)40-7-11-15(43-45(33,34)35)14(30)20(42-11)28-10-27-13-17(22)25-9-26-18(13)28/h9-11,14-16,20,30-31,48H,3-8H2,1-2H3,(H,23,29)(H,24,32)(H,36,37)(H,38,39)(H2,22,25,26)(H2,33,34,35)/t11-,14-,15-,16+,20-/m1/s1/f/h23-24,33-34,36,38H,22H2",c,m58,C00010,,,,,,,,,,,
,O-Acetylcarnitine[c],O-Acetylcarnitine,,obo.chebi:CHEBI:15960,C9H18NO4,"1/C9H17NO4/c1-7(11)14-8(5-9(12)13)6-10(2,3)4/h8H,5-6H2,1-4H3/p+1/t8-/m1/s1",c,m59,C02571,,,,,,,,,,,
,Acetyl-CoA[c],Acetyl-CoA,,obo.chebi:CHEBI:15351,C23H38N7O17P3S,"1/C23H38N7O17P3S/c1-12(31)51-7-6-25-14(32)4-5-26-21(35)18(34)23(2,3)9-44-50(41,42)47-49(39,40)43-8-13-17(46-48(36,37)38)16(33)22(45-13)30-11-29-15-19(24)27-10-28-20(15)30/h10-11,13,16-18,22,33-34H,4-9H2,1-3H3,(H,25,32)(H,26,35)(H,39,40)(H,41,42)(H2,24,27,28)(H2,36,37,38)/t13-,16-,17-,18+,22-/m1/s1/f/h25-26,36-37,39,41H,24H2",c,m60,C00024,,,,,,,,,,,
,Carnitine[c],Carnitine,,obo.chebi:CHEBI:3424,C7H16NO3,,c,m61,C00487,,,,,,,,,,,
,Glyoxylate[c],Glyoxylate,,obo.chebi:CHEBI:16891,C2H2O3,,c,m62,C00048,,,,,,,,,,,
,(S)-Malate[c],(S)-Malate,,obo.chebi:CHEBI:30797,C4H6O5,,c,m63,C00149,,,,,,,,,,,
,Acetyl-CoA[p],Acetyl-CoA,,obo.chebi:CHEBI:15351,C23H38N7O17P3S,"1/C23H38N7O17P3S/c1-12(31)51-7-6-25-14(32)4-5-26-21(35)18(34)23(2,3)9-44-50(41,42)47-49(39,40)43-8-13-17(46-48(36,37)38)16(33)22(45-13)30-11-29-15-19(24)27-10-28-20(15)30/h10-11,13,16-18,22,33-34H,4-9H2,1-3H3,(H,25,32)(H,26,35)(H,39,40)(H,41,42)(H2,24,27,28)(H2,36,37,38)/t13-,16-,17-,18+,22-/m1/s1/f/h25-26,36-37,39,41H,24H2",p,m64,C00024,,,,,,,,,,,
,H2O[p],H2O,,obo.chebi:CHEBI:15377,H2O,1/H2O/h1H2,p,m65,C00001,,,,,,,,,,,
,Glyoxylate[p],Glyoxylate,,obo.chebi:CHEBI:16891,C2H2O3,,p,m66,C00048,,,,,,,,,,,
,(S)-Malate[p],(S)-Malate,,obo.chebi:CHEBI:30797,C4H6O5,,p,m67,C00149,,,,,,,,,,,
,CoA[p],CoA,,obo.chebi:CHEBI:15346,C21H36N7O16P3S,"1/C21H36N7O16P3S/c1-21(2,16(31)19(32)24-4-3-12(29)23-5-6-48)8-41-47(38,39)44-46(36,37)40-7-11-15(43-45(33,34)35)14(30)20(42-11)28-10-27-13-17(22)25-9-26-18(13)28/h9-11,14-16,20,30-31,48H,3-8H2,1-2H3,(H,23,29)(H,24,32)(H,36,37)(H,38,39)(H2,22,25,26)(H2,33,34,35)/t11-,14-,15-,16+,20-/m1/s1/f/h23-24,33-34,36,38H,22H2",p,m68,C00010,,,,,,,,,,,
,(S)-Malate[m],(S)-Malate,,obo.chebi:CHEBI:30797,C4H6O5,,m,m69,C00149,,,,,,,,,,,
,Oxaloacetate[m],Oxaloacetate,,obo.chebi:CHEBI:30744,C4H4O5,,m,m70,C00036,,,,,,,,,,,
,Oxaloacetate[c],Oxaloacetate,,obo.chebi:CHEBI:30744,C4H4O5,,c,m71,C00036,,,,,,,,,,,
,3-Methyl-2-oxobutanoic acid[c],3-Methyl-2-oxobutanoic acid,,obo.chebi:CHEBI:11851,C5H8O3,"1/C5H8O3/c1-3(2)4(6)5(7)8/h3H,1-2H3,(H,7,8)/p-1/fC5H7O3/q-1",c,m72,C00141,,,,,,,,,,,
,(2S)-2-Isopropylmalate[c],(2S)-2-Isopropylmalate,,obo.chebi:CHEBI:1178,C7H12O5,,c,m73,C02504,,,,,,,,,,,
,ATP[m],ATP,,obo.chebi:CHEBI:15422,C10H16N5O13P3,"1/C10H16N5O13P3/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(26-10)1-25-30(21,22)28-31(23,24)27-29(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H,23,24)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1/f/h18-19,21,23H,11H2",m,m74,C00002,,,,,,,,,,,
,ADP[m],ADP,,obo.chebi:CHEBI:16761,C10H15N5O10P2,"1/C10H15N5O10P2/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(24-10)1-23-27(21,22)25-26(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1/f/h18-19,21H,11H2",m,m75,C00008,,,,,,,,,,,
,Orthophosphate[m],Orthophosphate,,obo.chebi:CHEBI:18367,H3PO4,"1/H3O4P/c1-5(2,3)4/h(H3,1,2,3,4)/p-3/fO4P/q-3",m,m76,C00009,,,,,,,,,,,
,Malonyl-CoA[m],Malonyl-CoA,,obo.chebi:CHEBI:15531,C24H38N7O19P3S,"1/C24H38N7O19P3S/c1-24(2,19(37)22(38)27-4-3-13(32)26-5-6-54-15(35)7-14(33)34)9-47-53(44,45)50-52(42,43)46-8-12-18(49-51(39,40)41)17(36)23(48-12)31-11-30-16-20(25)28-10-29-21(16)31/h10-12,17-19,23,36-37H,3-9H2,1-2H3,(H,26,32)(H,27,38)(H,33,34)(H,42,43)(H,44,45)(H2,25,28,29)(H2,39,40,41)/t12-,17-,18-,19+,23-/m1/s1/f/h26-27,33,39-40,42,44H,25H2",m,m77,C00083,,,,,,,,,,,
,CO2[c],CO2,,obo.chebi:CHEBI:16526,CO2,1/CO2/c2-1-3,c,m78,C00011,,,,,,,,,,,
,Malonyl-CoA[c],Malonyl-CoA,,obo.chebi:CHEBI:15531,C24H38N7O19P3S,"1/C24H38N7O19P3S/c1-24(2,19(37)22(38)27-4-3-13(32)26-5-6-54-15(35)7-14(33)34)9-47-53(44,45)50-52(42,43)46-8-12-18(49-51(39,40)41)17(36)23(48-12)31-11-30-16-20(25)28-10-29-21(16)31/h10-12,17-19,23,36-37H,3-9H2,1-2H3,(H,26,32)(H,27,38)(H,33,34)(H,42,43)(H,44,45)(H2,25,28,29)(H2,39,40,41)/t12-,17-,18-,19+,23-/m1/s1/f/h26-27,33,39-40,42,44H,25H2",c,m79,C00083,,,,,,,,,,,
,H2O[m],H2O,,obo.chebi:CHEBI:15377,H2O,1/H2O/h1H2,m,m80,C00001,,,,,,,,,,,
,2-Oxoglutarate[m],2-Oxoglutarate,,obo.chebi:CHEBI:30915,C5H6O5,,m,m81,C00026,,,,,,,,,,,
,Homocitrate[m],Homocitrate,,obo.chebi:CHEBI:17852,C7H10O7,,m,m82,C01251,,,,,,,,,,,
,Acetoacetyl-CoA[c],Acetoacetyl-CoA,,obo.chebi:CHEBI:15345,C25H40N7O18P3S,"1/C25H40N7O18P3S/c1-13(33)8-16(35)54-7-6-27-15(34)4-5-28-23(38)20(37)25(2,3)10-47-53(44,45)50-52(42,43)46-9-14-19(49-51(39,40)41)18(36)24(48-14)32-12-31-17-21(26)29-11-30-22(17)32/h11-12,14,18-20,24,36-37H,4-10H2,1-3H3,(H,27,34)(H,28,38)(H,42,43)(H,44,45)(H2,26,29,30)(H2,39,40,41)/t14-,18-,19-,20+,24-/m1/s1/f/h27-28,39-40,42,44H,26H2",c,m83,C00332,,,,,,,,,,,
,Acetoacetyl-CoA[p],Acetoacetyl-CoA,,obo.chebi:CHEBI:15345,C25H40N7O18P3S,"1/C25H40N7O18P3S/c1-13(33)8-16(35)54-7-6-27-15(34)4-5-28-23(38)20(37)25(2,3)10-47-53(44,45)50-52(42,43)46-9-14-19(49-51(39,40)41)18(36)24(48-14)32-12-31-17-21(26)29-11-30-22(17)32/h11-12,14,18-20,24,36-37H,4-10H2,1-3H3,(H,27,34)(H,28,38)(H,42,43)(H,44,45)(H2,26,29,30)(H2,39,40,41)/t14-,18-,19-,20+,24-/m1/s1/f/h27-28,39-40,42,44H,26H2",p,m84,C00332,,,,,,,,,,,
,2-Acetolactate[m],2-Acetolactate,,obo.chebi:CHEBI:16444,C5H8O4,"1/C5H8O4/c1-3(6)5(2,9)4(7)8/h9H,1-2H3,(H,7,8)",m,m85,C00900,,,,,,,,,,,
,Acetate[c],Acetate,,obo.chebi:CHEBI:15366,C2H4O2,,c,m86,C00033,,,,,,,,,,,
,Acetaldehyde[c],Acetaldehyde,,obo.chebi:CHEBI:15343,C2H4O,"1/C2H4O/c1-2-3/h2H,1H3",c,m87,C00084,,,,,,,,,,,
,Ethanol[m],Ethanol,,obo.chebi:CHEBI:16236,C2H6O,"1/C2H6O/c1-2-3/h3H,2H2,1H3",m,m88,C00469,,,,,,,,,,,
,Acetaldehyde[m],Acetaldehyde,,obo.chebi:CHEBI:15343,C2H4O,"1/C2H4O/c1-2-3/h2H,1H3",m,m89,C00084,,,,,,,,,,,
,Ethanol[c],Ethanol,,obo.chebi:CHEBI:16236,C2H6O,"1/C2H6O/c1-2-3/h3H,2H2,1H3",c,m90,C00469,,,,,,,,,,,
,NADP+[c],NADP+,,obo.chebi:CHEBI:18009,C21H29N7O17P3,"1/C21H28N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1-4,7-8,10-11,13-16,20-21,29-31H,5-6H2,(H7-,22,23,24,25,32,33,34,35,36,37,38,39)/p+1/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1/fC21H29N7O17P3/h33-34,36,38H,22-23H2/q+1",c,m91,C00006,,,,,,,,,,,
,NADPH[c],NADPH,,obo.chebi:CHEBI:16474,C21H30N7O17P3,"1/C21H30N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1,3-4,7-8,10-11,13-16,20-21,29-31H,2,5-6H2,(H2,23,32)(H,36,37)(H,38,39)(H2,22,24,25)(H2,33,34,35)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1/f/h33-34,36,38H,22-23H2",c,m92,C00005,,,,,,,,,,,
,Acetate[m],Acetate,,obo.chebi:CHEBI:15366,C2H4O2,,m,m93,C00033,,,,,,,,,,,
,AMP[c],AMP,,obo.chebi:CHEBI:16027,C10H14N5O7P,"1/C10H14N5O7P/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(22-10)1-21-23(18,19)20/h2-4,6-7,10,16-17H,1H2,(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1/f/h18-19H,11H2",c,m94,C00020,,,,,,,,,,,
,Citrate[m],Citrate,,obo.chebi:CHEBI:30769,C6H8O7,,m,m95,C00158,,,,,,,,,,,
,Oxaloacetate[p],Oxaloacetate,,obo.chebi:CHEBI:30744,C4H4O5,,p,m96,C00036,,,,,,,,,,,
,Citrate[p],Citrate,,obo.chebi:CHEBI:30769,C6H8O7,,p,m97,C00158,,,,,,,,,,,
