"Abbreviation","Name","Reaction","Reversible","Lower bound","Upper bound","Objective"," "
"PEPC","phosphoenolpyruvate carboxylase","h2o[m] + pep[m] + co2[m] -> pi[m] + oxaloacet[m] ",0,0,1000,0,
"PPDK","pyruvate-phosphate dikinase","atp[p] + pyr[p] + pi[p] -> amp[p] + pep[p] + ppi[p]",0,0,1000,0,
"ACC","acetyl-coa carboxylase","atp[p] + acca[p] + hco3[p] <=> adp[p] + pi[p] + mcoa[p]",1,-1000,1000,1,
"EX_NADP_M",,"nadp[m] <=>",1,-1000,1000,0,
"EX_NADPH_M",,"nadph[m] <=>",1,-1000,1000,0,
"EX_PPI_M",,"ppi[m] <=>",1,-1000,1000,0,
"EX_ACCA_P",,"acca[p] <=>",1,-1000,1000,0,
"EX_MCOA_P",,"mcoa[p] <=>",1,-1000,1000,0,
"EX_ADP_P",,"adp[p] <=>",1,-1000,1000,0,
"FBP","fructose-bisphosphatase","f16p[p] + h2o[p] -> f6p[p] + Pi[p]",0,0,1000,0,
"CFIX",,"co2[p] + h2o[p] + rubp[p] -> gly3p[p]",0,0,1000,0,
"EX_RUBP",,"rubp[p] <=>",1,-1000,1000,0,
