KEGG ID,Names,Occurence
C00041,L-Alanine|L-2-Aminopropionic acid|L-alpha-Alanine,43
C00042,Succinate|Succinic acid|Butanedionic acid|Ethylenesuccinic acid,135
C00043,UDP-N-acetyl-alpha-D-glucosamine|UDP-N-acetyl-D-glucosamine|UDP-N-acetylglucosamine,54
C00044,GTP|Guanosine 5'-triphosphate,40
C00045,Amino acid|Amino acids,8
C00046,RNA|RNAn|RNAn+1|RNA(linear)|(Ribonucleotide)n|(Ribonucleotide)m|(Ribonucleotide)n+m|Ribonucleic acid,24
C00047,"L-Lysine|Lysine acid|2,6-Diaminohexanoic acid",38
C00048,Glyoxylate|Glyoxalate|Glyoxylic acid,47
C00049,L-Aspartate|L-Aspartic acid|2-Aminosuccinic acid|L-Asp,39
C00050,Metal,0
C00051,Glutathione|5-L-Glutamyl-L-cysteinylglycine|N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine|gamma-L-Glutamyl-L-cysteinyl-glycine|GSH|Reduced glutathione,78
C00052,UDP-alpha-D-galactose|UDP-D-galactose|UDP-galactose|UDP-D-galactopyranose|UDP-alpha-D-galactopyranose,48
C00053,3'-Phosphoadenylyl sulfate|3'-Phosphoadenosine 5'-phosphosulfate|3'-Phospho-5'-adenylyl sulfate|PAPS,56
C00054,"Adenosine 3',5'-bisphosphate|PAP|3'-Phosphoadenylate|Phosphoadenosine phosphate",58
C00055,CMP|Cytidine-5'-monophosphate|Cytidylic acid,75
C00058,Formate|Methanoic acid|Formic acid,73
C00059,Sulfate|Sulfuric acid,42
C00060,Carboxylate|R-COOH|Monocarboxylate|Carboxylic acid,46
C00061,FMN|Riboflavin-5-phosphate|Flavin mononucleotide,24
C00062,L-Arginine|(S)-2-Amino-5-guanidinovaleric acid|L-Arg,29
C00063,CTP|Cytidine 5'-triphosphate|Cytidine triphosphate,41
C00064,L-Glutamine|L-2-Aminoglutaramic acid,41
C00065,L-Serine|L-2-Amino-3-hydroxypropionic acid|L-3-Hydroxy-alanine|Serine,32
C00066,tRNA|tRNA(n)|tRNA(n+1)|transfer RNA,6
C00067,Formaldehyde|Methanal|Oxomethane|Oxomethylene|Methylene oxide|Formalin,77
C00068,Thiamin diphosphate|Thiamine diphosphate|Thiamin pyrophosphate|TPP|ThPP,22
C00069,Alcohol,21
C00070,Copper|Cu+|Cu2+|Cu(II),0
C00071,Aldehyde|RCHO,27
C00072,Ascorbate|Ascorbic acid|L-Ascorbate|L-Ascorbic acid|Vitamin C,23
C00073,L-Methionine|Methionine|L-2-Amino-4methylthiobutyric acid,48
C00074,Phosphoenolpyruvate|Phosphoenolpyruvic acid|PEP,32
C00075,UTP|Uridine 5'-triphosphate|Uridine triphosphate,25
C00076,Calcium cation|Ca2+|Calcium(2+)|Calcium ion,0
C00077,"L-Ornithine|(S)-2,5-Diaminovaleric acid|(S)-2,5-Diaminopentanoic acid|(S)-2,5-Diaminopentanoate",21
C00078,L-Tryptophan|Tryptophan|(S)-alpha-Amino-beta-(3-indolyl)-propionic acid,25
C00079,L-Phenylalanine|(S)-alpha-Amino-beta-phenylpropionic acid,30
C00080,H+|Hydron,2262
C00081,ITP|Inosine 5'-triphosphate|Inosine triphosphate|Inosine tripolyphosphate,19
C00082,L-Tyrosine|(S)-3-(p-Hydroxyphenyl)alanine|(S)-2-Amino-3-(p-hydroxyphenyl)propionic acid|Tyrosine,31
C00083,Malonyl-CoA|Malonyl coenzyme A,85
C00084,Acetaldehyde|Ethanal,43
C00085,D-Fructose 6-phosphate|D-Fructose 6-phosphoric acid|Neuberg ester,25
C00086,Urea|Carbamide,22
C00087,Sulfur|S|Elemental sulfur,10
C00088,Nitrite,39
C00089,Sucrose|Cane sugar|Saccharose|1-alpha-D-Glucopyranosyl-2-beta-D-fructofuranoside,21
C00090,"Catechol|1,2-Benzenediol|o-Benzenediol|1,2-Dihydroxybenzene|Brenzcatechin|Pyrocatechol",23
C00091,Succinyl-CoA|Succinyl coenzyme A,30
C00092,D-Glucose 6-phosphate|Glucose 6-phosphate|Robison ester,30
C00093,sn-Glycerol 3-phosphate|Glycerophosphoric acid|D-Glycerol 1-phosphate,25
C00094,Sulfite|Sulfurous acid,41
C00095,D-Fructose|Levulose|Fruit sugar|D-arabino-Hexulose,38
C00096,GDP-mannose|GDP-D-mannose|GDP-alpha-D-mannose,26
C00097,L-Cysteine|L-2-Amino-3-mercaptopropionic acid,43
C00098,Oligopeptide,0
C00099,beta-Alanine|3-Aminopropionic acid|3-Aminopropanoate,26
C00100,Propanoyl-CoA|Propionyl-CoA|Propionyl coenzyme A,30
C00101,"Tetrahydrofolate|5,6,7,8-Tetrahydrofolate|Tetrahydrofolic acid|THF|(6S)-Tetrahydrofolate|(6S)-Tetrahydrofolic acid|(6S)-THFA",36
C00102,"2,6-Dichloroindophenol|2,6-Dichlorophenolindophenol|DCIP",0
C00103,D-Glucose 1-phosphate|alpha-D-Glucose 1-phosphate|Cori ester|D-Glucose alpha-1-phosphate,40
C00104,IDP|Inosine 5'-diphosphate|Inosine diphosphate,18
C00105,UMP|Uridylic acid|Uridine monophosphate|Uridine 5'-monophosphate|5'Uridylic acid,34
C00106,Uracil,15
C00107,Dipeptide,0
C00108,Anthranilate|Anthranilic acid|o-Aminobenzoic acid|Vitamin L1|2-Aminobenzoate,23
C00109,2-Oxobutanoate|2-Ketobutyric acid|2-Oxobutyric acid|2-Oxobutyrate|2-Oxobutanoic acid|alpha-Ketobutyric acid|alpha-Ketobutyrate,19
C00110,Dolichyl phosphate|Dolichol phosphate,16
C00111,Glycerone phosphate|Dihydroxyacetone phosphate|3-Hydroxy-2-oxopropyl phosphate,28
C00112,CDP|Cytidine 5'-diphosphate|Cytidine diphosphate,16
C00113,"PQQ|Pyrrolo-quinoline quinone|Pyrroloquinoline-quinone|Pyrroloquinoline quinone|4,5-Dioxo-4,5-dihydro-1H-pyrrolo[2,3-f]quinoline-2,7,9-tricarboxylate|Methoxatin",7
C00114,Choline|Bilineurine,23
C00116,"Glycerol|Glycerin|1,2,3-Trihydroxypropane|1,2,3-Propanetriol",25
C00117,D-Ribose 5-phosphate|Ribose 5-phosphate,20
C00118,D-Glyceraldehyde 3-phosphate|(2R)-2-Hydroxy-3-(phosphonooxy)-propanal|Glyceraldehyde 3-phosphate,31
C00119,5-Phospho-alpha-D-ribose 1-diphosphate|5-Phosphoribosyl diphosphate|5-Phosphoribosyl 1-pyrophosphate|PRPP,24
C00120,Biotin|D-Biotin|Vitamin H|Coenzyme R,10
C00121,D-Ribose,19
C00122,Fumarate|Fumaric acid|trans-Butenedioic acid,18
C00123,L-Leucine|2-Amino-4-methylvaleric acid|(2S)-alpha-2-Amino-4-methylvaleric acid|(2S)-alpha-Leucine,8
C00124,D-Galactose|D-Galactopyranose,44
C00125,Ferricytochrome c|Cytochrome c3+,32
C00126,Ferrocytochrome c|Cytochrome c2+|Reduced cytochrome c,32
C00127,Glutathione disulfide|GSSG|Oxiglutatione|Oxidized glutathione,27
C00128,CMP-N-acetylneuraminate|CMP-N-acetyl-beta-neuraminate,25
C00129,Isopentenyl diphosphate|delta3-Isopentenyl diphosphate|delta3-Methyl-3-butenyl diphosphate,39
C00130,IMP|Inosinic acid|Inosine monophosphate|Inosine 5'-monophosphate|Inosine 5'-phosphate|5'-Inosinate|5'-Inosinic acid|5'-Inosine monophosphate|5'-IMP,12
C00131,dATP|2'-Deoxyadenosine 5'-triphosphate|Deoxyadenosine 5'-triphosphate|Deoxyadenosine triphosphate,13
C00132,Methanol|Methyl alcohol|CH3OH,37
C00133,D-Alanine|D-2-Aminopropionic acid|D-Ala,16
C00134,"Putrescine|1,4-Butanediamine|1,4-Diaminobutane|Tetramethylenediamine|Butane-1,4-diamine",21
C00135,L-Histidine|(S)-alpha-Amino-1H-imidazole-4-propionic acid,17
C00136,Butanoyl-CoA|Butyryl-CoA,16
C00137,myo-Inositol|D-myo-Inositol|1D-myo-Inositol|L-myo-Inositol|1L-myo-Inositol|meso-Inositol|Inositol|Dambose|Cyclohexitol|Meat sugar|Bios I,22
C00138,Reduced ferredoxin,59
C00139,Oxidized ferredoxin,59
C00140,N-Acetyl-D-glucosamine|N-Acetylchitosamine|2-Acetamido-2-deoxy-D-glucose|GlcNAc,24
C00141,3-Methyl-2-oxobutanoic acid|3-Methyl-2-oxobutyric acid|3-Methyl-2-oxobutanoate|2-Oxo-3-methylbutanoate|2-Oxoisovalerate|2-Oxoisopentanoate|alpha-Ketovaline|2-Ketovaline|2-Keto-3-methylbutyric acid,15
C00143,"5,10-Methylenetetrahydrofolate|(6R)-5,10-Methylenetetrahydrofolate|5,10-Methylene-THF",16
C00144,GMP|Guanosine 5'-phosphate|Guanosine monophosphate|Guanosine 5'-monophosphate|Guanylic acid,18
C00145,Thiol|Mercaptan,4
C00146,Phenol|Benzenol|Hydroxybenzene|Phenic acid|Phenylic acid,11
C00147,Adenine|6-Aminopurine,14
C00148,L-Proline|2-Pyrrolidinecarboxylic acid,14
C00149,(S)-Malate|L-Malate|L-Apple acid|L-Malic acid|L-2-Hydroxybutanedioic acid|Malate|Malic acid,14
C00150,Molybdenum,0
C00151,L-Amino acid|L-2-Amino acid,23
C00152,L-Asparagine|2-Aminosuccinamic acid,10
C00153,Nicotinamide|Nicotinic acid amide|Niacinamide|Vitamin PP,17
C00154,Palmitoyl-CoA|Hexadecanoyl-CoA,19
C00155,L-Homocysteine|L-2-Amino-4-mercaptobutyric acid|Homocysteine,17
C00156,4-Hydroxybenzoate|Hydroxybenzoic acid|4-Hydroxybenzoic acid|Hydroxybenzenecarboxylic acid,26
C00157,"Phosphatidylcholine|Lecithin|Phosphatidyl-N-trimethylethanolamine|1,2-Diacyl-sn-glycero-3-phosphocholine|Choline phosphatide|3-sn-Phosphatidylcholine",22
C00158,"Citrate|Citric acid|2-Hydroxy-1,2,3-propanetricarboxylic acid|2-Hydroxytricarballylic acid",9
C00159,D-Mannose|Mannose|Seminose|Carubinose,26
C00160,Glycolate|Glycolic acid|Hydroxyacetic acid,11
C00161,2-Oxo acid|2-Oxocarboxylate|2-Oxocarboxylic acid|2-Oxo carboxylate,44
C00162,Fatty acid,36
C00163,Propanoate|Propionate|Propanoic acid|Propionic acid,8
C00164,Acetoacetate|3-Oxobutanoic acid|beta-Ketobutyric acid|Acetoacetic acid,14
C00165,Diacylglycerol|Diglyceride,12
C00166,Phenylpyruvate|Phenylpyruvic acid|alpha-Ketohydrocinnamic acid|keto-Phenylpyruvate|3-Phenyl-2-oxopropanoate|2-Oxo-3-phenylpropanoate,18
C00167,UDP-glucuronate|UDPglucuronate|UDP-D-glucuronate|UDP-alpha-D-glucuronate,41
C00168,Hydroxypyruvate|Hydroxypyruvic acid|3-Hydroxypyruvate|3-Hydroxypyruvic acid,8
C00169,Carbamoyl phosphate,21
C00170,5'-Methylthioadenosine|Methylthioadenosine|S-Methyl-5'-thioadenosine|5-Methylthioadenosine|5'-Deoxy-5'-(methylthio)adenosine|Thiomethyladenosine|MTA,23
C00171,5'-Phosphomononucleotide|5'-Nucleotide,0
C00172,3'-Phosphooligonucleotide,0
C00173,Acyl-[acyl-carrier protein],9
C00174,Acid,1
C00175,Cobalt ion|Cobalt(2+)|Co2+|Co(II),2
C00176,Flavin,1
C00177,Cyanide ion|Prussiate|CN-|Cyano|Cyanide,8
C00178,Thymine|5-Methyluracil,8
C00179,Agmatine|(4-Aminobutyl) guanidine,10
C00180,Benzoate|Benzoic acid|Benzenecarboxylic acid|Phenylformic acid|Dracylic acid,22
C00181,D-Xylose|Wood sugar,8
C00182,Glycogen,0
C00183,L-Valine|2-Amino-3-methylbutyric acid,10
C00184,"Glycerone|Dihydroxyacetone|1,3-Dihydroxyacetone|1,3-Dihydroxy-2-propanone|1,3-Dihydroxypropan-2-one",8
C00185,Cellobiose|1-beta-D-Glucopyranosyl-4-D-glucopyranose,10
C00186,(S)-Lactate|L-Lactate|L-Lactic acid,10
C00187,Cholesterol|Cholest-5-en-3beta-ol,20
C00188,L-Threonine|2-Amino-3-hydroxybutyric acid,10
C00189,Ethanolamine|Aminoethanol|2-Hydroxyethylamine,15
C00190,UDP-D-xylose|UDP-xylose|UDP-alpha-D-xylose,17
C00191,D-Glucuronate|Glucuronic acid|Glucuronate,19
C00192,Hydroxylamine|NH2OH,12
C00193,Aromatic aldehyde,6
C00194,"Cobamide coenzyme|Adenosylcobalamin|Adenosylcob(III)alamin|Deoxyadenosylcobalamin|Cobamamide|Vitamin B12 coenzyme|5,6-Dimethylbenzimidazolyl-5-deoxyadenosyl-cobamide|(5'-Deoxy-5'-adenosyl)cobamide coenzyme|(5,6-Dimethylbenzimidazolyl)cobamide coenzyme|alpha-(5,6-Dimethylbenzimidazolyl)cobamide coenzyme|5'-Deoxy-5'-adenosylcobalamin|5'-Deoxy-5'-adenosyl vitamin B12|5'-Deoxy-5'-adenosyl-5,6-dimethylbenzimidazolylcobamide|5,6-Dimethylbenzimidazolyl-Co-5'-deoxy-5'-adenosylcobamide|Calomide|Cobalamin coenzyme|Coenzyme B12|DMBC coenzyme|Dibencozide|Funacomide",2
C00195,N-Acylsphingosine|Ceramide,21
C00196,"2,3-Dihydroxybenzoate|2,3-Dihydroxybenzoic acid",8
C00197,3-Phospho-D-glycerate|D-Glycerate 3-phosphate|3-Phospho-(R)-glycerate|3-Phosphoglycerate,18
C00198,"D-Glucono-1,5-lactone|Gluconic lactone|Gluconic acid lactone|1,5-Gluconolactone|delta-Gluconolactone|D-Gluconolactone|Gluconolactone",11
C00199,D-Ribulose 5-phosphate,12
C00200,Phenazine methosulfate|N-Methylphenazonium methosulfate|5-Methylphenazinium methyl sulphate,0
C00201,Nucleoside triphosphate|NTP|Nucleoside 5'-triphosphate,12
C00202,Isoflurophate|Diisopropyl fluorophosphate|DFP,1
C00203,UDP-N-acetyl-D-galactosamine|UDP-N-acetyl-alpha-D-galactosamine,19
C00204,2-Dehydro-3-deoxy-D-gluconate|2-Keto-3-deoxy-D-gluconate,9
C00205,hn|Light|Photon|hnu,15
C00206,dADP|2'-Deoxyadenosine 5'-diphosphate,12
C00207,Acetone|Dimethyl ketone|2-Propanone,13
C00208,Maltose|Malt sugar|alpha-D-Glucopyranosyl-(1->4)-D-glucopyranose,10
C00209,Oxalate|Oxalic acid|Ethanedioic acid,12
C00210,Cobamide,0
C00211,Collagen,0
C00212,Adenosine,11
C00213,Sarcosine|N-Methylglycine,11
C00214,Thymidine|Deoxythymidine,6
C00215,Nucleotide,4
C00216,D-Arabinose,5
C00217,D-Glutamate|D-Glutamic acid|D-Glutaminic acid|D-2-Aminoglutaric acid,12
C00218,Methylamine|Methanamine,22
C00219,"Arachidonate|Arachidonic acid|(5Z,8Z,11Z,14Z)-Icosatetraenoic acid|cis-5,8,11,14-Eicosatetraenoic acid",22
C00220,Methylene blue|Methylthioninium chloride,0
C00221,beta-D-Glucose,20
C00222,3-Oxopropanoate|Malonate semialdehyde,16
C00223,p-Coumaroyl-CoA|4-Coumaroyl-CoA|4-Hydroxycinnamoyl-CoA,29
C00224,Adenylyl sulfate|Adenosine 5'-phosphosulfate|APS|5'-Adenylyl sulfate,11
C00225,"Methyl viologen|Paraquat dichloride|1,1'-Dimethyl-4,4'-bipyridinium dichloride",0
C00226,Primary alcohol|1-Alcohol,9
C00227,Acetyl phosphate,12
C00229,Acyl-carrier protein|ACP|[Acyl-carrier protein]|Holo-[acyl-carrier protein],54
C00230,"3,4-Dihydroxybenzoate|3,4-Dihydroxybenzoic acid|Protocatechuate|Protocatechuic acid",18
C00231,D-Xylulose 5-phosphate,10
C00232,Succinate semialdehyde|Succinic semialdehyde|4-Oxobutanoate,16
C00233,4-Methyl-2-oxopentanoate|2-Oxoisocaproate,8
C00234,10-Formyltetrahydrofolate|10-Formyl-THF,9
C00235,Dimethylallyl diphosphate|2-Isopentenyl diphosphate|delta2-Isopentenyl diphosphate|Dimethylallyl pyrophosphate|DMAPP|Monoprenyl diphosphate|Prenyl diphosphate,35
C00236,"3-Phospho-D-glyceroyl phosphate|1,3-Bisphospho-D-glycerate|(R)-2-Hydroxy-3-(phosphonooxy)-1-monoanhydride with phosphoric propanoic acid|D-Glycerate 1,3-diphosphate",8
C00237,CO|Carbon monoxide,21
C00238,Potassium cation|K+|Potassium(1+)|Potassium ion,0
C00239,dCMP|Deoxycytidylic acid|Deoxycytidine monophosphate|Deoxycytidylate|2'-Deoxycytidine 5'-monophosphate,9
C00240,rRNA|Ribosomal RNA,2
C00241,Amide,2
C00242,Guanine|2-Amino-6-hydroxypurine,7
C00243,Lactose|1-beta-D-Galactopyranosyl-4-D-glucopyranose|beta-D-Gal-(1->4)-D-Glc|Milk sugar,6
C00244,Nitrate|Nitric acid,13
C00245,Taurine|2-Aminoethanesulfonic acid|Aminoethylsulfonic acid,15
C00246,Butanoic acid|Butanoate|Butyrate|Butyric acid,8
C00247,L-Sorbose|L-xylo-Hexulose,9
C00248,Lipoamide|Thioctic acid amide,1
C00249,Hexadecanoic acid|Hexadecanoate|Hexadecylic acid|Palmitic acid|Palmitate|Cetylic acid,10
C00250,Pyridoxal,10
C00251,"Chorismate|Chorismic acid|(3R,4R)-3-[(1-Carboxyethenyl)oxy]-4-hydroxycyclohexa-1,5-diene-1-carboxylate",13
C00252,Isomaltose|Brachiose,1
C00253,Nicotinate|Nicotinic acid|Niacin|3-Pyridinecarboxylic acid,18
C00254,Prephenate|Prephenic acid,6
C00255,"Riboflavin|Lactoflavin|7,8-Dimethyl-10-ribitylisoalloxazine|Vitamin B2",9
C00256,(R)-Lactate|D-Lactate|D-Lactic acid|D-2-Hydroxypropanoic acid|D-2-Hydroxypropionic acid,11
C00257,D-Gluconic acid|D-Gluconate|D-gluco-Hexonic acid,9
C00258,D-Glycerate|Glycerate|(R)-Glycerate|Glyceric acid,18
C00259,L-Arabinose|L-Arabinopyranose,9
C00261,Benzaldehyde|Benzoic aldehyde,7
C00262,Hypoxanthine|Purine-6-ol,10
C00263,L-Homoserine|2-Amino-4-hydroxybutyric acid,6
C00264,3-Oxoacyl-CoA,5
C00265,"Dithiothreitol|1,4-Dithiothreitol|threo-1,4-Dimercapto-2,3-butanediol|DL-threo-1,4-Dimercapto-2,3-butanediol",5
C00266,Glycolaldehyde|Hydroxyacetaldehyde,9
C00267,alpha-D-Glucose,26
C00268,"Dihydrobiopterin|6,7-Dihydrobiopterin|Quinoid-dihydrobiopterin|(6R)-6-(L-erythro-1,2-Dihydroxypropyl)-7,8-dihydro-6H-pterin",9
C00269,"CDP-diacylglycerol|CDP-1,2-diacylglycerol|1,2-Diacyl-sn-glycero-3-cytidine-5'-diphosphate",8
C00270,"N-Acetylneuraminate|N-Acetylneuraminic acid|5-Acetamido-3,5-dideoxy-D-glycero-D-galacto-2-nonulosonic acid|Neu5Ac",23
C00272,"Tetrahydrobiopterin|5,6,7,8-Tetrahydrobiopterin|2-Amino-6-(1,2-dihydroxypropyl)-5,6,7,8-tetrahydoro-4(1H)-pteridinone|L-erythro-Tetrahydrobiopterin",15
C00273,5-Dehydro-D-fructose,6
C00275,D-Mannose 6-phosphate,10
C00279,D-Erythrose 4-phosphate,9
C00280,"Androstenedione|Androst-4-ene-3,17-dione|4-Androstene-3,17-dione",18
C00282,Hydrogen|H2,13
C00283,Hydrogen sulfide|Hydrogen-sulfide|H2S|Sulfide,37
C00284,EDTA|Ethylenediaminetetraacetic acid|Edetic acid,0
C00286,dGTP|2'-Deoxyguanosine 5'-triphosphate|Deoxyguanosine 5'-triphosphate|Deoxyguanosine triphosphate,9
C00288,HCO3-|Bicarbonate|Hydrogencarbonate|Acid carbonate,20
C00290,Fibrin,0
C00291,Nickel,0
C00292,Aniline|Phenylamine|Benzenamine|Arylamine,9
C00294,Inosine,7
C00295,Orotate|Orotic acid|Uracil-6-carboxylic acid,5
C00296,Quinate|Quinic acid|Kinic acid|Chinic acid|L-Quinic acid|L-Quinate|(-)-Quinic acid,9
C00297,Sulfide|Thioether,0
C00298,Trypsin|Trypsin crystallized,0
C00299,Uridine,15
C00300,Creatine|alpha-Methylguanidino acetic acid|Methylglycocyamine,5
C00301,ADP-ribose|ADP-D-ribose|Adenosine diphosphate ribose,8
C00302,Glutamate|Glutaminic acid|2-Aminoglutaric acid,2
C00303,Glutamine|2-Aminoglutaramic acid,0
C00304,Kanamycin,0
C00305,Magnesium cation|Mg2+|Magnesium(2+)|Magnesium ion,4
C00306,Bradykinin,0
C00307,CDP-choline|Cytidine 5'-diphosphocholine|Citicoline,8
C00308,Canavanine|L-Canavanine|2-Amino-4-(guanidinooxy)butyric acid,0
C00309,D-Ribulose|D-erythro-2-Pentulose|D-Arabinoketose|D-Arabinulose|D-Riboketose,7
C00310,D-Xylulose|D-threo-Pentulose|D-Lyxulose,6
C00311,"Isocitrate|Isocitric acid|1-Hydroxytricarballylic acid|1-Hydroxypropane-1,2,3-tricarboxylic acid",7
C00312,L-Xylulose|L-threo-Pentulose|L-Lyxulose,7
C00313,Oxalyl-CoA,7
C00314,Pyridoxine|Pyridoxol,9
C00315,"Spermidine|N-(3-Aminopropyl)-1,4-butane-diamine",17
C00317,Amylopectin,0
C00318,"L-Carnitine|L-gamma-Trimethyl-beta-hydroxybutyrobetaine|Vitamin BT|3-Carboxy-2-hydroxy-N,N,N-trimethyl-1-propanaminium hydroxide, inner salt|Levocarnitine|(R)-Carnitine",6
C00319,Sphingosine|Sphingenine|Sphingoid|Sphing-4-enine,8
C00320,Thiosulfate|Hyposulfite,14
C00322,2-Oxoadipate|2-Oxoadipic acid,9
C00323,Caffeoyl-CoA,17
C00324,Ferricyanide|Hexacyanoferrate(III),0
C00325,GDP-L-fucose|GDP-beta-L-fucose,9
C00326,Glycoprotein,1
C00327,L-Citrulline|2-Amino-5-ureidovaleric acid|Citrulline,10
C00328,L-Kynurenine|3-Anthraniloyl-L-alanine,5
C00329,D-Glucosamine|Chitosamine|2-Amino-2-deoxy-D-glucose,11
C00330,Deoxyguanosine|2'-Deoxyguanosine,4
C00331,Indolepyruvate|Indolepyruvic acid|(Indol-3-yl)pyruvate|Indole-3-pyruvate|3-(Indol-3-yl)pyruvate,12
C00332,Acetoacetyl-CoA|Acetoacetyl coenzyme A|3-Acetoacetyl-CoA,13
C00333,D-Galacturonate|D-Galacturonic acid,10
C00334,4-Aminobutanoate|4-Aminobutanoic acid|4-Aminobutyrate|4-Aminobutyric acid|gamma-Aminobutyric acid|GABA,14
C00337,"(S)-Dihydroorotate|(S)-4,5-Dihydroorotate|L-Dihydroorotate|L-Dihydroorotic acid|Dihydro-L-orotic acid",5
C00338,Lipopolysaccharide|LPS,5
C00339,Long-chain alcohol,6
C00340,Reduced rubredoxin,6
C00341,Geranyl diphosphate,41
C00342,Thioredoxin|Reduced thioredoxin,25
C00343,Thioredoxin disulfide|Oxidized thioredoxin|Thioredoxin sulfide,25
C00344,Phosphatidylglycerol|3-(3-sn-Phosphatidyl)glycerol|3(3-Phosphatidyl-)glycerol|PtdGro,10
C00345,6-Phospho-D-gluconate,7
C00346,Ethanolamine phosphate|O-Phosphorylethanolamine|Phosphoethanolamine|O-Phosphoethanolamine,11
C00347,Long-chain carboxylate|Long-chain carboxylic acid,6
C00348,all-trans-Undecaprenyl phosphate,0
C00349,2-Methyl-3-oxopropanoate|3-Oxo-2-methylpropanoate|Methylmalonate semialdehyde,3
C00350,Phosphatidylethanolamine|(3-Phosphatidyl)ethanolamine|(3-Phosphatidyl)-ethanolamine|Cephalin|O-(1-beta-Acyl-2-acyl-sn-glycero-3-phospho)ethanolamine|1-Acyl-2-acyl-sn-glycero-3-phosphoethanolamine|L-1-Phosphatidylethanolamine,14
C00351,5'-Phosphooligonucleotide,0
C00352,D-Glucosamine 6-phosphate|D-Glucosamine phosphate,9
C00353,"Geranylgeranyl diphosphate|Geranylgeranyl pyrophosphate|all-trans-Geranylgeranyl diphosphate|all-trans-Geranylgeranyl pyrophosphate|(2E,6E,10E)-3,7,11,15-Tetramethylhexadeca-2,6,10,14-tetraen-1-yl diphosphate",32
C00354,"D-Fructose 1,6-bisphosphate",10
C00355,"3,4-Dihydroxy-L-phenylalanine|L-Dopa|3-Hydroxy-L-tyrosine|L-beta-(3,4-Dihydroxyphenyl)alanine|Levodopa|Dihydroxy-L-phenylalanine",17
C00356,(S)-3-Hydroxy-3-methylglutaryl-CoA|Hydroxymethylglutaryl-CoA|Hydroxymethylglutaroyl coenzyme A|HMG-CoA|3-Hydroxy-3-methylglutaryl-CoA,7
C00357,N-Acetyl-D-glucosamine 6-phosphate,7
C00360,dAMP|2'-Deoxyadenosine 5'-phosphate|2'-Deoxyadenosine 5'-monophosphate|Deoxyadenylic acid|Deoxyadenosine monophosphate,3
C00361,dGDP|2'-Deoxyguanosine 5'-diphosphate,6
