"KO","Flux Value","Reaction Abbreviation","Reaction Name","Reaction Equation (Metabolite Abbreviation)","Reversible","Lower Bound","Upper Bound","Biological Objective","Synthetic Objective","Gene Association","Protein Association","Subsystem","Protein Class","GPR","Genes","Protein","Confidence Score","EC. Number"
"false","0.0","R_EX_H","H transport","M_h_c <==> ","true","-1000.0","1000.0","0.0","0.0"," "," "," "," "," "," "," ","2"," "
"false","0.0","R_T_H_CP","H transport","M_h_c <==> M_h_p","true","-1000.0","1000.0","0.0","0.0"," "," "," "," "," "," "," ","2"," "
"false","0.0","R_T_THR_CM"," ","M_thr_c <==> M_thr_m","true","-1000.0","1000.0","0.0","0.0"," "," "," "," "," "," "," ","1"," "
"false","0.0","R_T_2OXOBUT"," ","M_2oxobut_c <==> M_2oxobut_m","true","-1000.0","1000.0","0.0","0.0"," "," "," "," "," "," "," ","1"," "
"false","0.0","R_T_ACETSER_CM"," ","M_acetser_c <==> M_acetser_m","true","-1000.0","1000.0","0.0","0.0"," "," "," "," "," "," "," ","1"," "
"false","0.0","R_T_HOMOCYS"," ","M_homocys_c <==> M_homocys_m","true","-1000.0","1000.0","0.0","0.0"," "," "," "," "," "," "," ","1"," "
"false","0.0","R_T_CYS_CP"," ","M_cys_c <==> M_cys_p","true","-1000.0","1000.0","0.0","0.0"," "," "," "," "," "," "," ","1"," "
"false","0.0","R_EX_glc","Under heterotrophic scenario glucose transport set to -.325 (comes from dividing the carbon input for the autotrophic case and dividing by 6). ","M_glc_c <==> ","true","0.0","0.0","0.0","0.0"," "," "," "," "," "," "," ","2"," "
"false","0.0","R_GLKIN","glucinase","M_atp_c + M_glc_c --> M_adp_c + M_g6p_c","false","0.0","1000.0","0.0","0.0"," "," "," "," ","48774"," "," ","2","2.7.1.2"
"false","0.0","R_EX_CO2","CO2 transport. 1.48","M_co2_c <==> ","true","-1.3","1000.0","0.0","0.0"," "," "," "," "," "," "," ","2"," "
"false","0.0","R_T_CO2_P","CO2 transport","M_co2_c <==> M_co2_p","true","-1000.0","1000.0","0.0","0.0"," "," "," "," "," "," "," ","2"," "
"false","0.0","R_T_PPI_CP"," ","M_ppi_p + M_h_p --> M_ppi_c + M_h_c","false","0.0","1000.0","0.0","0.0"," "," "," "," "," "," "," ","1"," "
"false","0.0","R_T_ATP_CP","ADP/ATP transporter, NTT1","M_adp_p + M_pi_p + M_atp_c <==> M_pi_c + M_adp_c + M_atp_p","true","-1000.0","1000.0","0.0","0.0"," "," "," "," ","49533"," "," ","2"," "
"false","0.0","R_NADK","NAD+ kinase","M_atp_c + M_nad_c <==> M_adp_c + M_nadp_c","true","-1000.0","1000.0","0.0","0.0"," "," ","Nicotinate and nicotinamide metabolism"," ","12501"," "," ","2","2.7.1.23"
"false","0.0","R_PRK","phosphoribulokinase","M_atp_p + M_ru5p_p --> M_adp_p + M_h_p + M_rubp_p","false","0.0","1000.0","0.0","0.0"," "," ","C-fixation"," ","50773"," "," ","2","2.7.1.19"
"false","0.0","R_RUBISCO","Rubisco","M_co2_p + M_h2o_p + M_rubp_p --> 2 M_gly3p_p + 2 M_h_p","false","0.0","1000.0","0.0","0.0"," "," ","C-fixation"," ","rbcS and rbcL"," "," ","2","4.1.1.39"
"false","0.0","R_PGK_P","phosphoglycerate kinase","M_atp_p + M_gly3p_p <==> M_adp_p + M_3pgPi_p","true","-1000.0","1000.0","0.0","0.0"," "," ","Glycolysis, C-fixation"," ","29157"," "," ","2","2.7.2.3"
"false","0.0","R_GAPC","glyceraldehyde-3-phosphate dehydrogenase","M_3pgPi_p + M_nadph_p <==> M_g3p_p + M_pi_p + M_nadp_p","true","-1000.0","1000.0","0.0","0.0"," "," ","C-fixation Calvin cycle"," ","22122"," "," ","2","1.2.1.13"
"false","0.0","R_TPI_P","triose-phosphate isomerase","M_g3p_p <==> M_gp_p","true","-1000.0","1000.0","0.0","0.0"," "," ","C-fixation"," ","50738, 18228"," "," ","2","5.3.1.1"
"false","0.0","R_FBA_P","fructose-bisphosphate aldolase, class I","M_gp_p + M_g3p_p <==> M_f16p_p","true","-1000.0","1000.0","0.0","0.0"," "," ","Glycolysis, C-fixation"," ","22993, 41423"," "," ","2","4.1.2.13"
"false","0.0","R_FBP_P","FBPase, plastidic","M_f16p_p + M_h2o_p --> M_f6p_p + M_pi_p","false","0.0","1000.0","0.0","0.0"," "," ","C-fixation (Rubp regeneration)"," ","54279, 42456, 31451, 42886"," "," ","2","3.1.3.11"
"false","0.0","R_TKL2_P","transketolase","M_f6p_p + M_g3p_p <==> M_e4p_p + M_xu5p_p","true","-1000.0","1000.0","0.0","0.0"," "," ","C-fixation, Pentose phosphate pathway, non-oxidative phase"," ","50819"," "," ","2","2.2.1.1"
"false","0.0","R_SDBP_P","Sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase","M_e4p_p + M_gp_p <==> M_sh17bp_p","true","-1000.0","1000.0","0.0","0.0"," "," ","C-fixation (Rubp regeneration)"," ","51289"," "," ","2","4.1.2.13"
"false","0.0","R_FBP2_P","FBPase, plastidic","M_sh17bp_p + M_h2o_p --> M_s7p_p + M_pi_p","false","0.0","1000.0","0.0","0.0"," "," ","C-fixation (Rubp regeneration)"," "," "," "," ","1","3.1.3.37"
"false","0.0","R_TKL_P","transketolase","M_s7p_p + M_g3p_p <==> M_r5p_p + M_xu5p_p","true","-1000.0","1000.0","0.0","0.0"," "," ","C-fixation, Pentose phosphate pathway, non-oxidative phase"," ","50819"," "," ","2","2.2.1.1"
"false","0.0","R_TAL_P","transaldolase","M_s7p_p + M_g3p_p <==> M_e4p_p + M_f6p_p","true","-1000.0","1000.0","0.0","0.0"," "," ","Pentose phosphate pathway"," ","20779 or 50313"," "," ","2","2.2.1.2"
"false","0.0","R_RPI_P","ribose-5-phosphate isomerase","M_r5p_p <==> M_ru5p_p","true","-1000.0","1000.0","0.0","0.0"," "," ","C-fixation, Pentose phosphate pathway, oxidative phase"," ","50995, 13382"," "," ","2","5.3.1.6"
"false","0.0","R_RPE_P","ribulose-phosphate 3-epimerase","M_xu5p_p <==> M_ru5p_p","true","-1000.0","1000.0","0.0","0.0"," "," ","C-fixation, Pentose phosphate pathway"," ","53935"," "," ","2","5.1.3.1"
"false","0.0","R_PGM_P"," ","M_g1p_p <==> M_g6p_p","true","-1000.0","1000.0","0.0","0.0"," "," ","Glycolysis/Gluconeogenesis"," ","50118 or 50718"," "," ","2","5.4.2.2"
"false","0.0","R_T_G1P_PC"," ","M_g1p_p + M_pi_c <==> M_g1p_c + M_pi_p","true","-1000.0","1000.0","0.0","0.0"," "," "," "," "," "," "," ","1"," "
"false","0.0","R_T_G6P_PC"," ","M_g6p_p + M_pi_c <==> M_g6p_c + M_pi_p","true","-1000.0","1000.0","0.0","0.0"," "," "," "," "," "," "," ","1"," "
"false","0.0","R_T_F6P_PC"," ","M_f6p_p + M_pi_c <==> M_f6p_c + M_pi_p","true","-1000.0","1000.0","0.0","0.0"," "," "," "," "," "," "," ","1"," "
"false","0.0","R_RINT","phosphoglucomutase","M_r1p_p <==> M_r5p_p","true","-1000.0","1000.0","0.0","0.0"," "," "," "," ","50118 or 50718"," "," ","2","5.4.2.2"
"false","0.0","R_GPI_P","glucose-6-phosphate isomerase","M_g6p_p <==> M_f6p_p","true","-1000.0","1000.0","0.0","0.0"," "," ","Glycolysis/Gluconeogenesis, Pentose Phosphate, Starch metab."," ","56512"," "," ","2","5.3.1.9"
"false","0.0","R_PFK_P","Phosphofructinase 1","M_atp_p + M_f6p_p --> M_adp_p + M_f16p_p + M_h_p","false","0.0","1000.0","0.0","0.0"," "," ","Glycolysis"," "," "," "," ","1","2.7.1.11"
"false","0.0","R_PGAM_P","phosphoglycerate mutase","M_gly3p_p <==> M_gly2p_p","true","-1000.0","1000.0","0.0","0.0"," "," ","Glycolysis/Gluconeogenesis"," ","51298"," "," ","2","5.4.2.1"
"false","0.0","R_ENO_P","phosphopyruvate hydratase (enolase)","M_gly2p_p <==> M_pep_p + M_h2o_p","true","-1000.0","1000.0","0.0","0.0"," "," ","Glycolysis/Gluconeogenesis"," ","56468, 1572"," "," ","2","4.2.1.11"
"false","0.0","R_PK6_P","pyruvate kinase, plastid","M_adp_p + M_pep_p + 2 M_h_p --> M_atp_p + M_pyr_p","false","0.0","1000.0","0.0","0.0"," "," ","Glycolysis, C-fixation, pyruvate, purine metab."," ","22404, 54998"," "," ","2","2.7.1.40"
"false","0.0","R_PPDK_P","pyruvate-phosphate dikinase","M_atp_p + M_pyr_p + M_pi_p <==> M_amp_p + M_pep_p + M_ppi_p + 2 M_h_p","true","-1000.0","1000.0","0.0","0.0"," "," ","CAM, gluconeogenesis"," ","21988"," "," ","2","2.7.9.1"
"false","0.0","R_PFP_P"," ","M_f6p_p + M_ppi_p <==> M_pi_p + M_f16p_p","true","-1000.0","1000.0","0.0","0.0"," "," ","Glycolysis IV"," ","5128, 55126"," "," ","2","2.7.1.90"
"false","0.0","R_T_G3P","glyceraldehyde-3-phosphate transport","M_g3p_p + M_pi_c <==> M_g3p_c + M_pi_p","true","-1000.0","1000.0","0.0","0.0"," "," "," "," "," "," "," ","1"," "
"false","0.0","R_T_PYR_PC"," ","M_pyr_p + M_h_p <==> M_pyr_c + M_h_c","true","-1000.0","1000.0","0.0","0.0"," "," "," "," "," "," "," ","1"," "
"false","0.0","R_T_PEP_PC","phosphoenolpyruvate/phosphate antiporter","M_pep_p + M_pi_c <==> M_pep_c + M_pi_p","true","-1000.0","1000.0","0.0","0.0"," "," "," "," "," "," "," ","1"," "
"false","0.0","R_RUBISCO_O2"," ","M_rubp_p + M_o2_p --> 2 M_h_p + M_gly3p_p + M_pglyct_p","false","0.0","1000.0","0.0","0.0"," "," ","photorespiration"," "," "," "," ","1","4.1.1.-"
"false","0.0","R_PGP"," ","M_pglyct_p + M_h2o_p --> M_glyct_p + M_pi_p","false","0.0","1000.0","0.0","0.0"," "," "," "," ","43120, 48026"," "," ","2","3.1.3.18"
"false","0.0","R_T_HNO2","nitrite transport","M_hno2_c --> M_hno2_p","false","0.0","1000.0","0.0","0.0"," "," ","N-assim"," "," "," "," ","1"," "
"false","0.0","R_NIR_P","nitrite reductase","M_hno2_p + 6 M_rfdx_p + 7 M_h_p --> M_nh3_p + 2 M_h2o_p + 6 M_ofdx_p","false","0.0","1000.0","0.0","0.0"," "," ","N-assim"," ","27757, 12902"," "," ","2","1.7.7.1"
"false","0.0","R_T_NH3_CP"," ","M_nh3_c <==> M_nh3_p","true","-1000.0","1000.0","0.0","0.0"," "," "," "," "," "," "," ","1"," "
"false","0.0","R_GS_P","glutamine synthetase, plastid","M_atp_p + M_glu_p + M_nh3_p --> M_adp_p + M_pi_p + M_gln_p","false","0.0","1000.0","0.0","0.0"," "," ","glutamine synthesis"," ","51092"," "," ","2","6.3.1.2"
"false","0.0","R_GOGAT_FD_P","glutamate synthase (ferredoxin)","M_gln_p + M_oxoglut_p + 2 M_rfdx_p --> 2 M_glu_p + 2 M_ofdx_p","false","0.0","1000.0","0.0","0.0"," "," ","glutamate synthesis"," ","56605, 24739"," "," ","2","1.4.7.1"
"false","0.0","R_GT1","Glutamate/AKG transporter","M_oxoglut_c + M_glu_p <==> M_glu_c + M_oxoglut_p","true","-1000.0","1000.0","0.0","0.0"," "," "," "," "," "," "," ","1"," "
"false","0.0","R_T_GLN_CP"," ","M_gln_c + M_atp_c --> M_gln_p + M_adp_c + M_pi_c","false","0.0","1000.0","0.0","0.0"," "," "," "," "," "," "," ","1"," "
"false","0.0","R_T_GLN_PC"," ","M_gln_p + M_atp_c --> M_gln_c + M_adp_c + M_pi_c","false","0.0","1000.0","0.0","0.0"," "," "," "," "," "," "," ","1"," "
"false","0.0","R_DHLADH"," ","M_dilipo_p + M_nad_p <==> M_lipo_p + M_nadh_p + M_h_p","true","-1000.0","1000.0","0.0","0.0"," "," "," "," ","30113, 16069"," "," ","2","1.8.1.4, r01698"
"false","0.0","R_DLDH_P"," ","M_dilipoE_p + M_nad_p <==> M_nadh_p + M_h_p + M_lipoE_p","true","-1000.0","1000.0","0.0","0.0"," "," "," "," ","30113, 16069"," "," ","2","1.8.1.4, r07618"
"false","0.0","R_DYHLPPDEH_P","protein N6-(dihydrolipoyl)lysine:NAD+ oxidoreductase","M_dhlp_p + M_nad_p <==> M_lpp_p + M_nadh_p + M_h_p","true","-1000.0","1000.0","0.0","0.0"," "," ","glycine metabolism"," ","30113, 16069"," "," ","2","1.8.1.4, r03815"
"false","0.0","R_OXOADIP_P","2-oxoadipate dehydrogenase complex","M_oxad_p + M_coa_p + M_nad_p <==> M_glucoa_p + M_co2_p + M_nadh_p + M_h_p","true","-1000.0","1000.0","0.0","0.0"," "," "," "," ","30113, 16069"," "," ","2","1.8.1.4, r01933"
"false","0.0","R_OXODEHC_P","2-Oxoglutarate dehydrogenase complex","M_oxoglut_p + M_coa_p + M_nad_p <==> M_succoa_p + M_co2_p + M_nadh_p + M_h_p","true","-1000.0","1000.0","0.0","0.0"," "," "," "," ","30113, 16069"," "," ","2","1.8.1.4, r08549"
"false","0.0","R_PYC2","pyruvate carboxylase","M_atp_p + M_pyr_p + M_hco3_p --> M_adp_p + M_pi_p + M_oxaloacet_p + 2 M_h_p","false","0.0","1000.0","0.0","0.0"," "," ","Anaplerotic"," ","49339"," "," ","2","6.4.1.1"
"false","0.0","R_T_ASP_CP"," ","M_asp_c + M_atp_c --> M_asp_p + M_adp_c + M_pi_c","false","0.0","1000.0","0.0","0.0"," "," "," "," "," "," "," ","1"," "
"false","0.0","R_T_ASP_PC"," ","M_asp_p + M_atp_c --> M_asp_c + M_adp_c + M_pi_c","false","0.0","1000.0","0.0","0.0"," "," "," "," "," "," "," ","1"," "
"false","0.0","R_GOT_P"," ","M_oxaloacet_p + M_glu_p <==> M_asp_p + M_oxoglut_p","true","-1000.0","1000.0","0.0","0.0"," "," "," "," ","22909, 870"," "," ","2","2.6.1.1"
"false","0.0","R_T_OXALOACET_CP"," ","M_oxaloacet_p + M_pi_c <==> M_oxaloacet_c + M_pi_p","true","-1000.0","1000.0","0.0","0.0"," "," "," "," "," "," "," ","1"," "
"false","0.0","R_ASN_P"," ","M_atp_p + M_asp_p + M_gln_p + M_h2o_p --> M_amp_p + M_ppi_p + M_asn_p + M_glu_p","false","0.0","1000.0","0.0","0.0"," "," ","asparagine"," ","18337"," "," ","2","6.3.5.4, overall reaction"
"false","0.0","R_T_ASN_CP"," ","M_asn_p <==> M_asn_c","true","-1000.0","1000.0","0.0","0.0"," "," "," "," "," "," "," ","1"," "
"false","0.0","R_T_THF_PC"," ","M_thf_c <==> M_thf_p","true","-1000.0","1000.0","0.0","0.0"," "," "," "," "," "," "," ","1"," "
"false","0.0","R_THFS1"," ","M_fol_p + 2 M_nadh_p + 2 M_h_p --> M_thf_p + 2 M_nad_p","false","0.0","1000.0","0.0","0.0"," "," ","Folate"," ","38917"," "," ","2","1.5.1.3"
"false","0.0","R_THFS2"," ","M_fol_p + 2 M_nadph_p + 2 M_h_p --> M_thf_p + 2 M_nadp_p","false","0.0","1000.0","0.0","0.0"," "," ","Folate"," ","38917"," "," ","2","1.5.1.3"
"false","0.0","R_DHDF1","Dihydrofolate","M_fol_p + 2 M_nadh_p + 2 M_h_p <==> M_dhdf_p + 2 M_nad_p","true","0.0","0.0","0.0","0.0"," "," ","Folate"," ","38917"," "," ","2","1.5.1.3, r02235"
"false","0.0","R_DHDF2"," ","M_fol_p + 2 M_nadph_p + 2 M_h_p <==> M_dhdf_p + 2 M_nadp_p","true","0.0","0.0","0.0","0.0"," "," ","Folate"," ","38917"," "," ","2","1.5.1.3, r02236"
"false","0.0","R_DHDF"," ","M_dhdf_p + M_nadph_p + M_h_p --> M_thf_p + M_nadp_p","false","0.0","1000.0","0.0","0.0"," "," ","Folate, tetrahydrofolate"," ","38917"," "," ","2","1.5.1.3, r00939"
"false","0.0","R_PDH_P"," ","M_pyr_p + M_lipoE_p <==> M_aclipoE_p + M_co2_p","true","0.0","0.0","0.0","0.0"," "," "," "," ","20360"," "," ","2","1.2.4.1"
"false","0.0","R_T_COA_CP"," ","M_coa_c <==> M_coa_p","true","-1000.0","1000.0","0.0","0.0"," "," "," "," "," "," "," ","1"," "
"false","0.0","R_DILIPOAT_P"," ","M_coa_p + M_aclipoE_p --> M_acca_p + M_dilipoE_p","false","0.0","1000.0","0.0","0.0"," "," "," "," ","23850 or 54219"," "," ","2","2.3.1.12"
"false","0.0","R_FAS","Fas bacterial type","M_acca_p + M_acp_p --> M_acetylacp_p + M_coa_p","false","0.0","1000.0","0.0","0.0"," "," "," "," "," "," "," ","1","2.3.1.-"
"false","0.0","R_ACC1","acetyl-coa carboxylase","M_atp_p + M_acca_p + M_hco3_p <==> M_adp_p + M_pi_p + M_mcoa_p","true","-1000.0","1000.0","0.0","0.0"," "," ","FA synthesis"," ","54926"," "," ","2","6.4.1.2, 6.3.4.14"
"false","0.0","R_ACS2","acetyl-CoA synthetase","M_acet_p + M_coa_p + M_atp_p <==> M_acca_p + M_amp_p + M_ppi_p","true","-1000.0","1000.0","0.0","0.0"," "," "," "," ","ACS2"," "," ","2","6.2.1.1"
"false","0.0","R_FABD","FabD","M_mcoa_p + M_acp_p --> M_coa_p + M_malonylacp_p","false","0.0","1000.0","0.0","0.0"," "," "," "," ","37652"," "," ","2","2.3.1.39"
"false","0.0","R_FABB","fabB","M_acetylacp_p + M_malonylacp_p --> M_aaacp_p + M_co2_p + M_acp_p","false","0.0","1000.0","0.0","0.0"," "," "," "," ","52648, 18940"," "," ","2","2.3.1.41, r04355"
"false","0.0","R_HBACP","beta-ketoacyl-ACP reductase","M_aaacp_p + M_nadph_p + M_h_p --> M_nadp_p + M_hbacp_p","false","0.0","1000.0","0.0","0.0"," "," "," "," ","13073, 10306"," "," ","2","1.1.1.100"
"false","0.0","R_BEACP","beta-hydroxyacyl-ACP dehydratase","M_hbacp_p --> M_h2o_p + M_beacp_p","false","0.0","1000.0","0.0","0.0"," "," "," "," ","1143"," "," ","2","4.2.1.58"
"false","0.0","R_BUTACP","enoyl-[acyl-carrier protein] reductase","M_beacp_p + M_nadh_p + M_h_p --> M_butacp_p + M_nad_p","false","0.0","1000.0","0.0","0.0"," "," "," "," ","10068, 47536"," "," ","2","1.3.1.9"
"false","0.0","R_OHACP"," ","M_butacp_p + M_malonylacp_p --> M_co2_p + M_acp_p + M_ohacp_p","false","0.0","1000.0","0.0","0.0"," "," "," "," ","52648"," "," ","2","2.3.1.41"
"false","0.0","R_HHACP"," ","M_ohacp_p + M_nadph_p + M_h_p --> M_nadp_p + M_hhacp_p","false","0.0","1000.0","0.0","0.0"," "," "," "," ","13073"," "," ","2","1.1.1.100"
"false","0.0","R_THACP"," ","M_hhacp_p --> M_h2o_p + M_thacp_p","false","0.0","1000.0","0.0","0.0"," "," "," "," ","1143, 55157"," "," ","2","4.2.1.58"
"false","0.0","R_HEXACP"," ","M_thacp_p + M_nadh_p + M_h_p --> M_hexacp_p + M_nad_p","false","0.0","1000.0","0.0","0.0"," "," "," "," ","10068, 47536"," "," ","2","1.3.1.9"
"false","0.0","R_OOACP"," ","M_hexacp_p + M_malonylacp_p --> M_ooacp_p + M_co2_p + M_acp_p","false","0.0","1000.0","0.0","0.0"," "," "," "," ","52648"," "," ","2","2.3.1.41"
"false","0.0","R_HYOACP"," ","M_ooacp_p + M_nadph_p + M_h_p --> M_nadp_p + M_hyoacp_p","false","0.0","1000.0","0.0","0.0"," "," "," "," ","13073, 47583"," "," ","2","1.1.1.100"
"false","0.0","R_TU2EACP"," ","M_hyoacp_p --> M_h2o_p + M_to2eacp_p","false","0.0","1000.0","0.0","0.0"," "," "," "," ","1143, 55157"," "," ","2","4.2.1.58"
"false","0.0","R_OCACP"," ","M_to2eacp_p + M_nadh_p + M_h_p --> M_ocacp_p + M_nad_p","false","0.0","1000.0","0.0","0.0"," "," "," "," ","10068, 47536"," "," ","2","1.3.1.9"
"false","0.0","R_ODACP"," ","M_ocacp_p + M_malonylacp_p --> M_co2_p + M_acp_p + M_odacp_p","false","0.0","1000.0","0.0","0.0"," "," "," "," ","52648"," "," ","2","2.3.1.41"
"false","0.0","R_HDACP"," ","M_odacp_p + M_nadph_p --> M_nadp_p + M_hdacp_p","false","0.0","1000.0","0.0","0.0"," "," "," "," ","13073, 47583"," "," ","2","1.1.1.100"
"false","0.0","R_TD2EACP"," ","M_hdacp_p --> M_td2eacp_p + M_h2o_p","false","0.0","1000.0","0.0","0.0"," "," "," "," ","1143, 55157"," "," ","2","4.2.1.58"
"false","0.0","R_DECACP"," ","M_td2eacp_p + M_nadh_p + M_h_p --> M_nad_p + M_decacp_p","false","0.0","1000.0","0.0","0.0"," "," "," "," ","10068, 47536"," "," ","2","1.3.1.9"
"false","0.0","R_OXDOACP"," ","M_decacp_p + M_malonylacp_p --> M_co2_p + M_acp_p + M_oxdoacp_p","false","0.0","1000.0","0.0","0.0"," "," "," "," ","52648"," "," ","2","2.3.1.41"
"false","0.0","R_HYDDACP"," ","M_oxdoacp_p + M_nadph_p + M_h_p --> M_nadp_p + M_hyddacp_p","false","0.0","1000.0","0.0","0.0"," "," "," "," ","13073, 47583"," "," ","2","1.1.1.100"
"false","0.0","R_DD2EACP"," ","M_hyddacp_p --> M_h2o_p + M_dd2eacp_p","false","0.0","1000.0","0.0","0.0"," "," "," "," ","1143, 55157"," "," ","2","4.2.1.58"
"false","0.0","R_DDACP"," ","M_dd2eacp_p + M_nadh_p + M_h_p --> M_nad_p + M_ddacp_p","false","0.0","1000.0","0.0","0.0"," "," "," "," ","10068, 47536"," "," ","2","1.3.1.9"
"false","0.0","R_OTDACP"," ","M_ddacp_p + M_malonylacp_p --> M_co2_p + M_acp_p + M_otdacp_p","false","0.0","1000.0","0.0","0.0"," "," "," "," ","52648"," "," ","2","2.3.1.41"
"false","0.0","R_HTDACP"," ","M_otdacp_p + M_nadph_p + M_h_p --> M_nadp_p + M_htdacp_p","false","0.0","1000.0","0.0","0.0"," "," "," "," ","13073, 47583"," "," ","2","1.1.1.100"
"false","0.0","R_TT2EACP"," ","M_htdacp_p --> M_tt2eacp_p + M_h2o_p","false","0.0","1000.0","0.0","0.0"," "," "," "," ","1143, 55157"," "," ","2","4.2.1.58"
"false","0.0","R_TDACP"," ","M_tt2eacp_p + M_nadh_p + M_h_p --> M_nad_p + M_tdacp_p","false","0.0","1000.0","0.0","0.0"," "," "," "," ","10068, 47536"," "," ","2","1.3.1.9"
"false","0.0","R_OHDACP"," ","M_tdacp_p + M_malonylacp_p --> M_ohdacp_p + M_co2_p + M_acp_p","false","0.0","1000.0","0.0","0.0"," "," "," "," ","52648"," "," ","2","2.3.1.41"
"false","0.0","R_HPACP"," ","M_ohdacp_p + M_nadph_p + M_h_p --> M_nadp_p + M_hpacp_p","false","0.0","1000.0","0.0","0.0"," "," "," "," ","13073, 47583"," "," ","2","1.1.1.100"
