Reaction #,E.C. #,Gene ID ,Gene Description,equation,Pathway,References,,,,
rxn36,1.1.1.274,geneCsal1316,"2,5-didehydrogluconate reductase",2dhglcn + nadp <-> 25dhglcn + nadph,,"52 , 54, 53",,,,
rxn37,1.1.1.276,geneCsal0161,Serine 3-dehydrogenase,serL + nadp <-> 2aomsa + nadph,,"52 , 54, 53",,,,
rxn38,1.1.1.28,geneCsal3144,D-lactate dehydrogenase, lacD + nad <-> h + nadh + pyr,Pyruvate metabolism,"51, 50, 33, 34, 28, 39",,,,
rxn39,1.1.1.29,geneCsal1842,biotin, h + hpyr + nadh <-> glycR + nad,"Glycine, serine and threonine metabolism","51, 50, 39",,,,
rxn40,1.1.1.3,geneCsal3010,homoserine dehydrogenase (NADPH), homL + nadp <-> aspsa + h + nadph,"Glycine, serine and threonine metabolism","51, 50, 33, 34,28, 46, 39, 37",,,,
rxn41,1.1.1.3,geneCsal3010,"homoserine dehydrogenase (NADH), irreversible", aspsa + h + nadh -> homL + nad,"Glycine, serine and threonine metabolism","51, 50, 33, 34,28, 46, 39, 37",,,,
rxn42,1.1.1.3,geneCsal3010,"homoserine dehydrogenase (NADP), irreversible", aspsa + h + nadph -> homL + nadp,"Glycine, serine and threonine metabolism","51, 50, 33, 34,28, 46, 39, 37",,,,
rxn43,1.1.1.30,geneCsal1825,3-hydroxybutyrate dehydrogenase,3hbutR + nad <-> acac + nadh,Butanoate metabolism,"52 , 54, 53",,,,
rxn44,1.1.1.31,geneCsal1707,3-hydroxyisobutyrate dehydrogenase,3h2mppn + nad <-> 2m3oppan + nadh,"Valine, leucine and isoleucine degradation","52 , 54, 53",,,,
rxn45,1.1.1.36,geneCsal3029,Acetoacetyl-CoA reductase,3hacoaR + nadp <-> 3oacoa + nadph,Butanoate metabolism,"52 , 54, 53",,,,
rxn46,1.1.1.37,geneCsal1752,malate dehydrogenase, malL + nad <-> h + nadh + oaa,Citrate cycle (TCA cycle),"51, 50, 33, 34,28, 46, 39",,,,
rxn47,1.1.1.40,geneCsal0605,malic enzyme (NADP), malL + nadp -> co2 + nadph + pyr,Pyruvate metabolism,"51, 50, 33, 34, 28",,,,
rxn48,1.1.1.41,geneCsal1434,Isocitrate dehydrogenase (NAD+), icit + nad -> akg + co2 + nadh,Citrate cycle (TCA cycle),"51, 50, 33, 28",,,,
rxn49,1.1.1.42,geneCsal0525,isocitrate dehydrogenase (NADP), icit + nadp <-> akg + co2 + nadph,Citrate cycle (TCA cycle),"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn50,1.1.1.42,geneCsal0525,Isocitrate dehydrogenase (NADP+), icit + nadp -> akg + co2 + nadph,Citrate cycle (TCA cycle),"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn51,1.1.1.44,geneCsal0666,phosphogluconate dehydrogenase, 6pgc + nadp -> co2 + nadph + ru5pD,Pentose phosphate pathway,"51, 50, 33, 34, 28, 39, 37",,,,
rxn52,1.1.1.46,,L-arabinose 1-dehydrogenase,ara + nad <-> ara14l + nadh,,"5,6,59, 52 , 54, 53",,,,
rxn53,1.1.1.48,geneCsal1017,Galactose 1-dehydrogenase,gal + nad <-> glctl + nadh,Galactose metabolism,"52 , 54, 53",,,,
rxn54,1.1.1.49,geneCsal2741,glucose 6-phosphate dehydrogenase, g6p + nadp -> 6pgl + h + nadph,Pentose phosphate pathway,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn55,1.1.1.49,geneCsal2741,glucose 6-phosphate dehydrogenase, g6p + nadp <-> 6pgl + h + nadph,Pentose phosphate pathway,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn56,1.1.1.57,geneCsal2979,Mannonate oxidoreductase, mana + nad <-> fruur + h + nadh,Pentose and glucuronate interconversions,"51, 50, 33, 34",,,,
rxn57,1.1.1.58,geneCsal1734,tagaturonate reductase, altrn + nad <-> h + nadh + tagur,Pentose and glucuronate interconversions,"51, 50, 33, 34",,,,
rxn58,1.1.1.60,geneCsal0960,tartronate semialdehyde reductase, 2h3oppan + h + nadh -> glycR + nad,Glyoxylate and dicarboxylate metabolism,"51, 50, 33, 34",,,,
rxn59,1.1.1.60,geneCsal0960,tartronate semialdehyde reductase, 2h3oppan + h + nadh <-> glycR + nad,Glyoxylate and dicarboxylate metabolism,"51, 50, 33, 34",,,,
rxn60,1.1.1.62,geneCsal0649,Estradiol 17-beta-dehydrogenase,estd17B + nadp <-> estrone + nadph,Androgen and estrogen metabolism,"52 , 54, 53",,,,
rxn61,1.1.1.65,geneCsal1438,Pyridoxine 4-dehydrogenase,pydxn + nadp <-> pyridoxal + nadph,Vitamin B6 metabolism,"52 , 54, 53",,,,
rxn62,1.1.1.67,geneCsal0643,Mannitol 2-dehydrogenase,mnl + nad <-> fru + nadh,Fructose and mannose metabolism,"52 , 54, 53",,,,
rxn63,1.1.1.69,geneCsal1129,5-dehydro-D-gluconate reductase, 5dglcn + h + nadph <-> glcn + nadp,L-idonate degradation ,"51, 50, 33, 34",,,,
rxn64,1.1.1.81,,D-glycerate dehydrogenase,glycrt + nadp <-> hpyr + nadph,,"52 , 54, 53",,,,
rxn65,1.1.1.82,geneCsal1771,malate dehydrogenase , (S)mal + nadp <-> oaa + nadph +h,Pyruvate metabolism,"52 , 54, 53",,,,
rxn66,1.1.1.85,geneCsal2451,3-isopropylmalate dehydrogenase, 3c2hmp + nad -> 3c4mop + h + nadh,"Valine, leucine and isoleucine biosynthesis","51, 50, 33, 34,28, 46, 39",,,,
rxn67,1.1.1.86,geneCsal0504,acetohydroxy acid isomeroreductase, alacS + h + nadph -> 23dhmb + nadp,Pantothenate and CoA biosynthesis,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn68,1.1.1.86,geneCsal0504,"ketol-acid reductoisomerase (2,3-dihydroxy-3-methylbutanoate)", 23dhmb + nadp <-> alacS + h + nadph,"Valine, leucine and isoleucine biosynthesis","51, 50, 33, 34,28, 46, 39, 37",,,,
rxn69,1.1.1.86,geneCsal0504,ketol-acid reductoisomerase (2-Acetolactate), 2ahbut + h + nadph <-> 23dhmp + nadp,"Valine, leucine and isoleucine biosynthesis","51, 50, 33, 34,28, 46, 39, 37",,,,
rxn70,1.1.1.86,geneCsal0504,ketol-acid reductoisomerase (2-Aceto-2-hydroxybutanoate), 2ahbut + h + nadph -> 23dhmp + nadp,"Valine, leucine and isoleucine biosynthesis","51, 50, 33, 34,28, 46, 39, 37",,,,
rxn71,1.1.1.9,geneCsal2609,xylitol dehydrogenase (D-xyulose-forming), nad + xylt -> h + nadh + xyluD,Pentose and glucuronate interconversions,"51, 50, 33, 28",,,,
rxn72,1.1.1.90,geneCsal0349,Aryl-alcohol dehydrogenase,aalc + nad <-> aald + nadh,Tyrosine metabolism,"52 , 54, 53",,,,
rxn73,1.1.1.91,geneCsal0382,Aryl-alcohol dehydrogenase (nadp),aalc + nadp <-> aald + nadph,Glyoxylate and dicarboxylate metabolism,"52 , 54, 53",,,,
rxn74,1.1.1.93,geneCsal2776,Tartrate dehydrogenase,tartr + nad <-> oglyclt + nadh,Glyoxylate and dicarboxylate metabolism,"52 , 54, 53",,,,
rxn75,1.1.1.93,geneCsal2776,Tartrate dehydrogenase,mtartr + nad <-> oglyclt+ nadh,Glyoxylate and dicarboxylate metabolism,"52 , 54, 53",,,,
rxn76,1.1.1.93,geneCsal2776,Tartrate dehydrogenase,RRtartr + nad <-> oglyclt + nadh,Glyoxylate and dicarboxylate metabolism,"52 , 54, 53",,,,
rxn77,1.1.1.94,geneCsal2490,glycerol-3-phosphate dehydrogenase (NADP), glyc3p + nadp <-> dhap + h + nadph,Glycerophospholipid metabolism,"51, 50, 33, 34, 39, 37",,,,
rxn78,1.1.1.95,geneCsal0096,phosphoglycerate dehydrogenase, 3pg + nad -> 3php + h + nadh,"Glycine, serine and threonine metabolism","51, 50, 33, 34,28, 46, 39, 37",,,,
rxn79,1.1.2.4,geneCsal0405,D-lactate dehydrogenase, lacD + q8 -> pyr + q8h2,Pyruvate metabolism,"51, 50, 33, 34, 28",,,,
rxn80,1.1.3.15,geneCsal1075,(S)-2-hydroxy-acid oxidase,2hacS + o2 <-> 2oac + h2o2,Glyoxylate and dicarboxylate metabolism,"52 , 54, 53",,,,
rxn81,1.1.3.21,geneCsal2106,Glycerol-3-phosphate oxidase,snglyc3p + o2 <-> glycnp + h2o2,Glycerophospholipid metabolism,"52 , 54, 53",,,,
rxn82,1.1.5.2,geneCsal0170,Quinoprotein glucose dehydrogenase,glcD + q <-> gl + qh2,,"52 , 54, 53",,,,
rxn83,1.1.99.1,geneCsal1514,choline dehydrogenase, chol + nad -> betald + h + nadh,"Glycine, serine and threonine metabolism","51, 50, 39",,,,
rxn84,1.1.99.16,geneCsal2579,Malate dehydrogenase (ubiquinone 8 as acceptor), malL + q8 -> oaa + q8h2,Pyruvate metabolism,"51, 50, 33, 34, 39, 37",,,,
rxn85,1.1.99.16,geneCsal2579,Malate dehydrogenase (menaquinone 8 as acceptor), malL + mqn8 -> mql8 + oaa,Pyruvate metabolism,"51, 50, 33, 34, 39, 37",,,,
rxn86,1.11.1.10,geneCsal0764,Chloride peroxidase,(2) Rh + (2) cl + h2o2 <-> (2) Rcl + 2 h2o ,,"52 , 54, 53",,,,
rxn87,1.11.1.6,geneCsal0159,catalase, (2) h2o2 -> (2) h2o + o2,Tryptophan metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn88,1.11.1.7,geneCsal0179,Hydorogen-peroxide:hydrogen-peroxide oxidoreductase, meoh + h2o2 <-> fald + (2) h2o,Phenylalanine metabolism,"52 , 54, 53",,,,
rxn89,1.11.1.9,geneCsal2825,glutathione peridoxase, (2) gthrd + h2o2 <-> gthox + (2) h2o,Glutathione metabolism,"51, 50, 33, 28, 39",,,,
rxn90,1.12.1.2,geneCsal3127,Hydrogen dehydrogenase,h2 + nad <-> h + nadh,Glyoxylate and dicarboxylate metabolism,"52 , 54, 53",,,,
rxn91,1.13.11.2,geneCsal0135,"Catechol 2,3-dioxygenase",catec + o2 <-> 2hmcsa,Styrene degradation,"52 , 54, 53",,,,
rxn92,1.13.11.27,geneCsal0292,4-Hydroxyphenylpyruvate:oxygen oxidoreductase, 34hpp + o2 -> co2 + hgentis,Tyrosine metabolism,"51, 50, 33, 28",,,,
rxn93,1.13.11.3,geneCsal0311,"Protocatechuate 3,4-dioxygenase",34hdb + o2 <-> 3cccmc,Benzoate degradation via hydroxylation,"52 , 54, 53",,,,
rxn94,1.13.11.32,geneCsal1015,2-nitropropane dioxygenase,22nppe + o2 <-> 2 acetone + 2 no2,Nitrogen metabolism,"52 , 54, 53",,,,
rxn95,1.13.11.8,geneCsal0323,"Protocatechuate 4,5-dioxygenase",protocatechuate + o2 <-> 4c2hmcsa,Benzoate degradation via hydroxylation,"52 , 54, 53",,,,
rxn96,1.13.99.1,,Meso-inositol oxygenase,mino + o2 <-> glucr + h2o,,"52 , 54, 53",,,,
rxn97,1.14.11.1,geneCsal0540,Gamma-butyrobetaine dioxygenase,4tmambut + akg + o2 <-> 3h4tmambut + succ + co2,Lysine degradation,"52 , 54, 53",,,,
rxn98,1.14.11.13,geneCsal2885,Gibberellin 2-beta-dioxygenase,gibberellin1 + akg + o2 <-> 2Bhgibberellin1 + succ + co2,Diterpenoid biosynthesis,"52 , 54, 53",,,,
rxn99,1.14.12.12,geneCsal1004,"Naphthalene 1,2-dioxygenase",naphthalene + nadh + o2 <-> 1R2S12hphtn12ol + nad,1- and 2-Methylnaphthalene degradation,"52 , 54, 53",,,,
rxn100,1.14.12.7,geneCsal0343,"Phthalate 4,5-dioxygenase",phthalate + nadh + o2 <-> c45dhchddc + nad,"2,4-Dichlorobenzoate degradation","52 , 54, 53",,,,
rxn101,1.14.13.1,geneCsal1784,Salicylate 1-monooxygenase,salicylate + nadh + o2 <-> catec + nad + h2o + co2 ,1- and 2-Methylnaphthalene degradation,"52 , 54, 53",,,,
rxn102,1.14.13.2,geneCsal0347,4-hydroxybenzoate 3-monooxygenase,4hbz + nadph + o2 <-> protocatechuate + nadp + h2o,Benzoate degradation via hydroxylation,"52 , 54, 53",,,,
rxn103,1.14.13.20,geneCsal0339,"2,4-dichlorophenol 6-monooxygenase",24chph + nadph + o2 <-> 35chcatec + nadp + h2o,"1,4-Dichlorobenzene degradation","52 , 54, 53",,,,
rxn104,1.14.13.59,geneCsal1054,L-lysine 6-monooxygenase (nadph),lysL + nadph + o2 <-> N6hlysL + nadp + h2o,Lysine degradation,"52 , 54, 53",,,,
rxn105,1.14.13.8,geneCsal1416,Flavin-containing monooxygenase,NNmanle + nadph + o2 <-> NNmanleNo + nadp + h2o,,"52 , 54, 53",,,,
rxn106,1.14.13.82,geneCsal0336,Vanillate monooxygenase,vanillate + o2 + nadh <-> 34dhb + nad + h2o + fald,"2,4-Dichlorobenzoate degradation","52 , 54, 53",,,,
rxn107,1.14.15.7,geneCsal2455,Choline monooxygenase,chol + o2 + 2 fdred + 2 h -> betaldh + h2o + 2 fdox,,"52 , 54, 53",,,,
rxn108,1.15.1.1,geneCsal1861,superoxide dismutase, (2) h + (2) o2s -> h2o2 + o2,Amyotrophic lateral sclerosis (ALS),"51, 50, 33, 34,46, 39, 37",,,,
rxn109,1.16.1.8,geneCsal1806,[Methionine synthase] reductase,2 metsmcbl1 + 2 ahcys+ nadp <-> 2 metscbl2 + nadph + 2 amet,,"52 , 54, 53",,,,
rxn110,1.17.1.2,geneCsal0484,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,ipdp + nadp + h2o <-> e4h3mbt2en1p + nadph,Biosynthesis of steroids,"52 , 54, 53",,,,
rxn111,1.17.4.1,geneCsal0379,ribonucleoside-diphosphate reductase (ADP), adp + trdrd -> dadp + h2o + trdox,Pyrimidine metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn112,1.17.4.1,geneCsal0379,ribonucleoside-diphosphate reductase (GDP), gdp + trdrd -> dgdp + h2o + trdox,Pyrimidine metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn113,1.17.4.1,geneCsal0379,ribonucleoside-diphosphate reductase (CDP), cdp + trdrd -> dcdp + h2o + trdox,Pyrimidine metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn114,1.17.4.1,geneCsal0379,ribonucleoside-diphosphate reductase (UDP), trdrd + udp -> dudp + h2o + trdox,Pyrimidine metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn115,1.17.4.3,geneCsal2854,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase,e4h3mbt2en1p + h2o + dsb <-> 2mecdp + Pdhl,Biosynthesis of steroids,"52 , 54, 53",,,,
rxn116,1.18.1.2,geneCsal0128,flavodoxin reductase (NADPH), fldox + h + nadph -> fldrd + nadp,Photosynthesis,"51, 50, 33, 34",,,,
rxn117,1.18.1.3,geneCsal3250,Ferredoxin--nad reductase,fdred + nad <-> fdox + nadh,Fatty acid metabolism,"52 , 54, 53",,,,
rxn118,1.2.1.1,geneCsal0985,formaldehyde dehydrogenase, fald + gthrd + nad <-> Sfglutth + h + nadh,,"51, 50, 33, 28, 46",,,,
rxn119,1.2.1.11,geneCsal2450,aspartate-semialdehyde dehydrogenase, aspsa + nadp + pi <-> 4pasp + h + nadph,"Glycine, serine and threonine metabolism","51, 50, 33, 34,28, 46, 39, 37",,,,
rxn120,1.2.1.11,geneCsal2450,"aspartate-semialdehyde dehydrogenase, irreversible", 4pasp + h + nadph -> aspsa + nadp + pi,Lysine biosynthesis,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn121,1.2.1.12,geneCsal0372,glyceraldehyde-3-phosphate dehydrogenase, g3p + nad + pi <-> 13dpg + h + nadh,Glycolysis / Gluconeogenesis,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn122,1.2.1.15,,Malonate-semialdehyde dehydrogenase,3opp + nadp + h2o <-> maln + nadph,,"5,6,59,52 , 54, 53",,,,
rxn123,1.2.1.16,geneCsal0646,succinate-semialdehyde dehydrogenase (NADP), h2o + nadp + sucsal -> (2) h + nadph + succ,Glutamate metabolism,"51, 50, 33, 34,28, 46, 39",,,,
rxn124,1.2.1.18,,Malonate-semialdehyde dehydrogenase,3opp + coa + nadp <-> accoa+ co2 + nadph,,"52 , 54, 53",,,,
rxn125,1.2.1.2,geneCsal2691,formate dehydrogenase, for + nad -> co2 + nadh,Glyoxylate and dicarboxylate metabolism,"51, 50, 33, 34,28, 46, 39",,,,
rxn126,1.2.1.26,,"2,5-dioxovalerate dehydrogenase",25dixp + nadp + h2o <-> 2oglt + Nnadph,,"5,6,59,52 , 54, 53",,,,
rxn127,1.2.1.27,geneCsal1126,Methylmalonate-semialdehyde dehydrogenase (acylating) ,2m3oppan + coa + h2o + nad <-> ppcoa + hco3+ nadh,Inositol metabolism,"52 , 54, 53",,,,
rxn128,1.2.1.3,geneCsal0142,"aldehyde dehydrogenase (acetaldehyde, NAD)", acald + h2o + nad -> ac + (2) h + nadh,Glycolysis / Gluconeogenesis,"51, 50, 33, 34,28, 46, 39",,,,
rxn129,1.2.1.3,geneCsal2913,N4-Acetylaminobutanal:NAD+ oxidoreductase, h2o + 4abutn + nad -> 4aabutn + (2) h + nadh,Oxidative ethanol degradation I ,"51, 50, 33, 34,28, 46, 39",,,,
rxn130,1.2.1.38,geneCsal2714,N-acetyl-g-glutamyl-phosphate reductase, acg5sa + nadp + pi <-> acg5p + h + nadph,Urea cycle and metabolism of amino groups,"51, 50, 33, 34,28, 46, 39",,,,
rxn131,1.2.1.4,geneCsal1140,"aldehyde dehydrogenase (acetaldehyde, NADP)", acald + h2o + nadp -> ac + (2) h + nadph,Caprolactam degradation,"51, 50, 33, 34, 28",,,,
rxn132,1.2.1.41,geneCsal1541,glutamate-5-semialdehyde dehydrogenase, glu5p + h + nadph -> glu5sa + nadp + pi,Urea cycle and metabolism of amino groups,"51, 50, 33, 34, 28, 46",,,,
rxn133,1.2.1.41,geneCsal1541,glutamate-5-semialdehyde dehydrogenase, glu5p + h + nadh -> glu5sa + nad + pi,Urea cycle and metabolism of amino groups,"51, 50, 33, 34, 28, 46",,,,
rxn134,1.2.1.46,geneCsal0335,Formaldehyde dehydrogenase,fald + nad + h2o <-> for + nadh,Urea cycle and metabolism of amino groups,"52 , 54, 53",,,,
rxn135,1.2.1.65,geneCsal0277,Salicylaldehyde dehydrogenase,salicald + nad + h2o <-> salicylate + nadh,Nitrobenzene degradation,"52 , 54, 53",,,,
rxn136,1.2.1.8,geneCsal1515,betaine-aldehyde dehydrogenase, betald + h2o + nad <-> glyb + (2) h + nadh,"Glycine, serine and threonine metabolism","51, 50, 33, 34, 39",,,,
rxn137,1.2.1.8,geneCsal1515,betaine-aldehyde dehydrogenase, betald + h2o + nadp <-> glyb + (2) h + nadph,"Glycine, serine and threonine metabolism","51, 50, 33, 34, 39",,,,
rxn138,1.2.2.2,geneCsal1010,pyruvate oxidase, h2o + pyr + q8 -> ac + co2 + q8h2,Pyruvate metabolism,"51, 50, 33, 34, 39",,,,
rxn139,1.2.3.1,geneCsal1789,Aldehyde oxidase,ald + h2o + o2 <-> coacd + h2o2,"Valine, leucine and isoleucine degradation","52 , 54, 53",,,,
rxn140,1.2.4.1,geneCsal0855,pyruvate dehydrogenase, coa + nad + pyr -> accoa + co2 + nadh,Glycolysis / Gluconeogenesis,"51, 50, 33, 28",,,,
rxn141,1.2.4.2,geneCsal1217,oxoglutarate dehydrogenase (lipoamide), akg + h + lpam <-> co2 + sdhlam,Citrate cycle (TCA cycle),"51, 50, 33, 28, 39",,,,
rxn142,1.2.99.2,geneCsal0527,carbon monoxide dehydrogenase / acetyl-CoA synthase, accoa + (2) fdox + h2o + h4spt <-> co2 + coa + (2) fdred + (2) h + mh4spt,Methane metabolism,"51, 50, 46",,,,
rxn143,1.20.4.1,geneCsal1896,Arsenate reductase,aso4 + grxox <-> aso3 + grds+ h2o,,"52 , 54, 53",,,,
rxn144,1.3.1.12,geneCsal2165,prephenate dehydrogenase, nad + pphn -> 34hpp + co2 + nadh,Novobiocin biosynthesis,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn145,1.3.1.26,geneCsal3087,dihydrodipicolinate reductase (NADPH), 23dhdp + h + nadph -> nadp + thdp,Lysine biosynthesis,"51, 50, 33, 34,46, 39, 37",,,,
rxn146,1.3.1.33,geneCsal3278,Protochlorophyllide reductase,chpylda + nadp <-> pchpylda + nadph,Porphyrin and chlorophyll metabolism,"52 , 54, 53",,,,
rxn147,1.3.1.34,geneCsal0879,"2,4-dienoyl-CoA reductase (nadph)",t23dhacoa + nadp <-> tt2345dhacoa + nadph,,"52 , 54, 53",,,,
rxn148,1.3.1.74,geneCsal0797,2-alkenal reductase,nalkl + nadp <-> alk2el + nadph,,"52 , 54, 53",,,,
